value_loss,policy_entropy,time_elapsed,policy_loss,total_timesteps,serial_timesteps,eplenmean,eprewmean,nupdates,fps,explained_variance,approxkl,clipfrac
0.38055828,1.382468,1.5152497291564941,-0.0072111925,2048,2048,999.0,-100.837066,1,1351,-0.03329575061798096,0.0025947532,0.020263672
0.27810493,1.3351458,3.2160286903381348,-0.0025407409,4096,4096,955.5,-65.96576175,2,1205,0.039350032806396484,0.0014258494,0.01015625
0.002648857,1.2931632,5.006505489349365,-0.004540859,6144,6144,970.0,-71.58438366666667,3,1144,-0.9312866926193237,0.0035633608,0.028076172
0.0029959283,1.2494383,6.792499303817749,-0.0021315017,8192,8192,977.25,-73.257234875,4,1147,-0.3108839988708496,0.0013665177,0.008203125
0.002243048,1.1848519,8.566985368728638,-0.013274272,10240,10240,981.6,-72.6848473,5,1157,0.24170303344726562,0.0059520463,0.047070313
0.5797188,1.1280639,10.347669124603271,-0.0038426048,12288,12288,911.8461538461538,-43.15112192307692,6,1151,0.1194562315940857,0.0024002,0.020117188
0.34227347,1.0985156,12.122795104980469,-0.0006389145,14336,14336,869.6875,-23.882201312499998,7,1157,0.14831632375717163,0.0008821033,0.0034667968
0.3413871,1.0745195,13.908091068267822,-0.0011834456,16384,16384,779.2380952380952,-0.7722425238095214,8,1148,0.26138442754745483,0.0016718342,0.012353515
0.19256233,1.0607073,15.703619241714478,-7.920417e-05,18432,18432,724.92,11.29827924,9,1141,0.3548352122306824,0.0011597911,0.008007812
0.1539085,1.0377449,17.479645490646362,-0.0024134528,20480,20480,689.9655172413793,20.045301827586208,10,1156,0.42407721281051636,0.0039524725,0.038330078
0.2010535,1.0065863,19.274749755859375,-0.001873997,22528,22528,616.6388888888889,32.324669444444446,11,1141,0.49643266201019287,0.0020898636,0.016064454
0.14465411,0.9798792,21.061121702194214,-0.0019711326,24576,24576,568.8372093023256,40.62346046511628,12,1147,0.6107884347438812,0.0017572548,0.012988281
0.08806307,0.9551078,22.846063137054443,-0.0034305952,26624,26624,552.3958333333334,44.64572689583334,13,1148,0.6729634404182434,0.0028143525,0.026855469
0.09481472,0.92846143,24.65996241569519,-0.0018173022,28672,28672,518.7818181818182,49.93991738181819,14,1129,0.7107882797718048,0.0033169556,0.031298827
0.07502457,0.89278257,26.442562103271484,-0.003098133,30720,30720,483.6666666666667,54.74007882539682,15,1149,0.7884782254695892,0.0019521484,0.013769532
0.060067743,0.8630641,28.227078676223755,-0.0036639373,32768,32768,454.125,58.966925527777775,16,1148,0.8404554575681686,0.0045516104,0.053808592
0.037035458,0.8376385,30.022538900375366,-0.004235195,34816,34816,432.45,61.97097293750001,17,1141,0.8856544643640518,0.0039862436,0.03666992
0.02796337,0.8183347,31.81250238418579,-0.00075238,36864,36864,408.4222222222222,65.00537421111112,18,1146,0.9245427399873734,0.00363093,0.039013673
0.017087366,0.79127574,33.6169638633728,-0.0043665776,38912,38912,388.71,67.43160832,19,1137,0.9562448784708977,0.0048972336,0.054492187
0.011847732,0.7699031,35.40986180305481,-0.0069071865,40960,40960,319.51,82.06257602,20,1143,0.9684538021683693,0.0056756386,0.074316405
0.011253869,0.75149137,37.18720006942749,-0.0051314416,43008,43008,270.45,86.19727283,21,1155,0.9729536082595587,0.005859434,0.06982422
0.00836736,0.7276653,38.97991871833801,-0.0076264506,45056,45056,240.1,87.82127692999998,22,1143,0.979436507448554,0.007222452,0.09106445
0.005507418,0.7060249,40.78539061546326,-0.0050513325,47104,47104,222.35,88.59275513999997,23,1135,0.9821792766451836,0.0051166145,0.059277344
0.0061687157,0.6733949,42.569531202316284,-0.0064033307,49152,49152,195.81,89.40698181999998,24,1150,0.9750262089073658,0.0069185807,0.0730957
0.0076546124,0.6487354,44.35844969749451,-0.007962297,51200,51200,180.36,89.67170210000003,25,1145,0.9654556550085545,0.0062864395,0.07885742
0.0053452747,0.6357973,46.151408672332764,-0.0033827971,53248,53248,167.0,89.59392874,26,1143,0.9656982459127903,0.005560209,0.06503906
0.009762986,0.6243977,47.93332767486572,-0.0021178662,55296,55296,157.96,89.48562704,27,1150,0.9526960477232933,0.0041647432,0.0440918
0.007291794,0.6026271,49.71585035324097,-0.0047705765,57344,57344,147.33,89.27527365999998,28,1151,0.9586687907576561,0.005483591,0.055078126
0.007010059,0.57533824,51.508798599243164,-0.004378739,59392,59392,139.03,89.05440200000001,29,1143,0.9640614055097103,0.004407228,0.047070313
0.0072540394,0.5610033,53.288058042526245,-0.0022514828,61440,61440,136.91,88.67715161999999,30,1151,0.9533998519182205,0.004976033,0.059375
0.009785868,0.5472162,55.07772493362427,-0.0029592784,63488,63488,135.41,88.46615356000002,31,1145,0.9401948004961014,0.0046554883,0.048583984
0.009223522,0.52763945,56.87398362159729,-0.0029420909,65536,65536,131.44,88.37492653,32,1141,0.9382499307394028,0.004541439,0.05263672
0.004401985,0.49972185,58.67594027519226,-0.0044738543,67584,67584,127.39,88.44715007999999,33,1137,0.9729415308684111,0.006157862,0.06865235
0.0074789384,0.4763314,60.46120476722717,-0.002450568,69632,69632,121.71,88.69579707000001,34,1148,0.9417906999588013,0.005351874,0.064892575
0.008324335,0.4701035,62.263309478759766,-0.0017200146,71680,71680,117.51,88.88024958,35,1137,0.9414959065616131,0.005157423,0.06313477
0.0068352073,0.46895212,64.0490574836731,-0.0023607211,73728,73728,111.08,88.99749754,36,1147,0.9408586844801903,0.0041449987,0.05205078
0.0067359293,0.4639309,65.83289575576782,-0.0016583235,75776,75776,107.68,88.96854425,37,1149,0.9405833072960377,0.0043093385,0.04892578
0.005543323,0.4478775,67.63155460357666,-0.0018471979,77824,77824,101.58,89.07840077,38,1140,0.9498455077409744,0.0039562685,0.04140625
0.005980523,0.4293077,69.41502523422241,-0.005479769,79872,79872,99.51,88.83759572,39,1149,0.948440819978714,0.005327976,0.06347656
0.0033942487,0.430202,71.2627317905426,-0.0035781942,81920,81920,94.29,88.85890484000001,40,1110,0.9631340391933918,0.0053565856,0.06572266
0.003427323,0.43063742,73.0849666595459,-0.00072787685,83968,83968,89.67,89.00797251,41,1124,0.9595945291221142,0.0029499184,0.027441407
0.002329091,0.42254028,74.87485098838806,-0.0024934197,86016,86016,86.61,89.15482769,42,1146,0.9676486812531948,0.0053704777,0.06459961
0.002642146,0.41668743,76.66298985481262,-0.002314748,88064,88064,82.89,89.39639420000002,43,1149,0.9584061540663242,0.005276018,0.059326172
0.00036543998,0.4053131,78.45248818397522,-0.0004081113,90112,90112,79.63,89.47661185000001,44,1145,0.9887549737468362,0.0031637754,0.031054687
0.002517899,0.40321168,80.23565435409546,-0.0032961988,92160,92160,80.28,88.98747467000001,45,1149,0.9464004337787628,0.0067676054,0.08041992
0.0019532384,0.40175158,82.03980112075806,-0.002958679,94208,94208,79.87,88.76336558000001,46,1136,0.9720081984996796,0.004654689,0.056884766
0.00041362472,0.39018077,83.84510898590088,-0.0033882041,96256,96256,78.44,88.63898018999998,47,1135,0.9828224815428257,0.0050703706,0.05678711
0.00020077001,0.38164115,85.65000462532043,-0.0046446007,98304,98304,78.13,88.57769658000001,48,1135,0.994830721989274,0.0076529547,0.0993164
0.00024129424,0.35377005,87.44158720970154,-0.0037563618,100352,100352,76.65,88.78098275999999,49,1144,0.9954564077779651,0.005991048,0.061767578
0.00017136087,0.32600325,89.24340438842773,-0.0065285973,102400,102400,75.42,88.87171615999998,50,1137,0.9967231282498688,0.00854678,0.10864258
0.00011297017,0.30648237,91.02270913124084,-0.003819668,104448,104448,75.18,89.20532166999999,51,1151,0.9976559940259904,0.0076184026,0.08842774
0.00013940452,0.28273964,92.82201170921326,-0.009488418,106496,106496,75.07,89.52874973000002,52,1139,0.9974325152579695,0.008818115,0.11191406
0.00011222047,0.26738662,94.6186318397522,-0.0047461893,108544,108544,74.78,89.94529384000002,53,1142,0.9977395425084978,0.006625998,0.08300781
8.475158e-05,0.25191575,96.39566540718079,-0.010025252,110592,110592,74.63,90.35256559999999,54,1153,0.9984459150582552,0.009130919,0.120751955
0.00013867332,0.22783788,98.18721628189087,-0.006523115,112640,112640,74.71,90.68857286000001,55,1144,0.9976814510300756,0.0078458395,0.09267578
7.129534e-05,0.20213835,99.97886085510254,-0.0076532587,114688,114688,74.22,90.96501226999999,56,1144,0.9984366541029885,0.007270977,0.08735351
9.130063e-05,0.18036878,101.77105069160461,-0.004826401,116736,116736,74.21,91.22927277999997,57,1145,0.9982593189924955,0.006187095,0.07739258
9.7076714e-05,0.14519289,103.56775140762329,-0.008493643,118784,118784,74.25,91.50746432000001,58,1140,0.9977940027602017,0.0078061335,0.08730469
8.4490996e-05,0.11108967,105.34994983673096,-0.006828329,120832,120832,73.89,91.71460205000002,59,1150,0.9987176078138873,0.009099318,0.1046875
