#{"t_start": 1521290362.6793108, "env_id": "HalfCheetah-v2"}
r,l,t
-688.017185,1000,2.757211
-564.605838,1000,3.806874
-655.237017,1000,4.443026
-667.939877,1000,5.155067
-679.346075,1000,5.829778
-631.731217,1000,6.510485
-631.609914,1000,7.203707
-511.159765,1000,7.965455
-781.392548,1000,8.611701
-716.537773,1000,9.281539
-610.624622,1000,10.09256
-491.970334,1000,10.870789
-606.583097,1000,11.73358
-429.92436,1000,12.544133
-601.676013,1000,13.378931
-645.884256,1000,14.263002
-620.974919,1000,15.164168
-681.907057,1000,16.071586
-732.843602,1000,16.955142
-666.115396,1000,17.750532
-720.787725,1000,18.420122
-915.314873,1000,19.151085
-724.274558,1000,19.86195
-641.312499,1000,20.650062
-691.660137,1000,21.483854
-673.433125,1000,22.296717
-719.255819,1000,23.074933
-731.908863,1000,23.894804
-652.932762,1000,24.66914
-573.411659,1000,25.56962
-673.820504,1000,26.380811
-713.340599,1000,27.301224
-578.645909,1000,28.139618
-685.315149,1000,29.01534
-738.503042,1000,29.803495
-716.66762,1000,30.599594
-616.902183,1000,31.44662
-494.518727,1000,32.232211
-611.576325,1000,33.049225
-696.888753,1000,33.850671
-639.26599,1000,34.644853
-877.797406,1000,35.440437
-659.978539,1000,36.123029
-589.786058,1000,36.923758
-695.054225,1000,37.719466
-788.162735,1000,38.512937
-728.026316,1000,39.315952
-822.963406,1000,40.10701
-664.246614,1000,40.896497
-596.046851,1000,41.697334
-656.896933,1000,42.49182
-601.753897,1000,43.284921
-674.576634,1000,44.10032
-807.809298,1000,44.914716
-718.838676,1000,45.729707
-656.793725,1000,46.552752
-765.977418,1000,47.36587
-697.432668,1000,48.17326
-760.718478,1000,48.988455
-646.924387,1000,49.797285
-713.806585,1000,50.642889
-736.286981,1000,51.459381
-795.792097,1000,52.266895
-687.179122,1000,53.069772
-809.760177,1000,53.882971
-689.309706,1000,54.688648
-772.256702,1000,55.494858
-835.15792,1000,56.307289
-758.676313,1000,57.110716
-760.670838,1000,57.91786
-652.184046,1000,58.732144
-735.629873,1000,59.53757
-662.355623,1000,60.345237
-846.432813,1000,61.154933
-864.106978,1000,61.963328
-745.861874,1000,62.769036
-707.398396,1000,63.585177
-848.359812,1000,64.38868
-957.680993,1000,65.192335
-770.140323,1000,66.010158
-707.821569,1000,66.820129
-690.416074,1000,67.628753
-718.078561,1000,68.442962
-781.838584,1000,69.246289
-778.374208,1000,70.05325
-712.098229,1000,70.745813
-851.585862,1000,71.561314
-926.944661,1000,72.36734
-768.222275,1000,73.170274
-750.061718,1000,73.981982
-935.894885,1000,74.789525
-733.493063,1000,75.600546
-520.469212,1000,76.41989
-764.32946,1000,77.226982
-920.478938,1000,78.03654
-756.375658,1000,78.85565
-766.457104,1000,79.666908
-792.003119,1000,80.474323
-815.284573,1000,81.29043
-885.323757,1000,82.097344
-918.535923,1000,82.904886
-740.950179,1000,83.726761
-807.439157,1000,84.534225
-864.626297,1000,85.342848
-784.114058,1000,86.175439
-1177.075351,1000,86.993115
-806.676337,1000,87.811122
-856.938991,1000,88.622389
-794.148827,1000,89.427684
-837.352779,1000,90.234153
-711.174074,1000,91.04753
-806.813644,1000,91.854611
-966.535753,1000,92.659577
-826.151583,1000,93.474095
-1057.407997,1000,94.284479
-841.772165,1000,95.093149
-808.754784,1000,95.910669
-872.669352,1000,96.721252
-899.054136,1000,97.533841
-752.50096,1000,98.35635
-799.995251,1000,99.169766
-959.941104,1000,99.981865
-779.323409,1000,100.800451
-824.779991,1000,101.617839
-666.524723,1000,102.428284
-987.519168,1000,103.247614
-824.382951,1000,104.058503
-831.65131,1000,104.752901
-758.418511,1000,105.565248
-828.066169,1000,106.382785
-799.831345,1000,107.190431
-782.399941,1000,107.99914
-897.172297,1000,108.813785
-715.799803,1000,109.621754
-1038.561529,1000,110.430847
-795.782135,1000,111.250502
-822.158271,1000,112.060488
-833.880203,1000,112.866413
-861.904022,1000,113.681735
-795.430139,1000,114.488997
-760.449677,1000,115.297786
-873.72074,1000,116.11078
-988.920532,1000,116.913035
-872.928698,1000,117.718469
-835.134443,1000,118.535018
-783.642765,1000,119.342317
-819.315108,1000,120.151248
-778.879318,1000,120.969646
-845.322836,1000,121.783121
-887.129722,1000,122.594079
-795.700339,1000,123.413998
-895.990425,1000,124.224775
-877.666416,1000,125.028133
-1001.362793,1000,125.842315
-896.749364,1000,126.650916
-821.942777,1000,127.460644
-823.617828,1000,128.280168
-875.457796,1000,129.084194
-896.395518,1000,129.891441
-721.125155,1000,130.781018
-897.540865,1000,131.721332
-868.668937,1000,132.560834
-911.336771,1000,133.377909
-970.588132,1000,134.186488
-831.224769,1000,135.063284
-1121.723992,1000,136.006721
-992.841395,1000,136.810573
-1090.981712,1000,137.611639
-1041.247517,1000,138.4289
