EpisodesSoFar,EpThisIter,entloss,TimeElapsed,optimgain,EpLenMean,EpTrueRewMean,TimestepsSoFar,entropy,ev_tdlam_before,surrgain,meankl,EpRewMean
1,1,0.0,2.8178012371063232,0.055721693,1000.0,-655.2370167001819,1000,8.483345,0.04843413829803467,0.055721693,0.006611689,714.00256
2,1,0.0,4.893421649932861,0.057514545,1000.0,-643.4841170172513,2000,8.463978,0.2851601243019104,0.057514545,0.0073724636,697.7582
3,1,0.0,7.012075901031494,0.05396016,1000.0,-689.4535940675383,3000,8.467271,0.028161227703094482,0.05396016,0.00694676,696.2412
4,1,0.0,9.364028453826904,0.051934294,1000.0,-640.0827791677685,4000,8.505314,0.0008130073547363281,0.051934294,0.006545131,691.9772
5,1,0.0,11.963817596435547,0.055041574,1000.0,-632.4014260007754,5000,8.539426,0.009672760963439941,0.055041574,0.007448296,694.1869
6,1,0.0,14.72353982925415,0.052127704,1000.0,-640.6523644201794,6000,8.576295,0.001778244972229004,0.052127704,0.0056610364,696.9924
7,1,0.0,17.01051139831543,0.050588347,1000.0,-652.1002730488223,7000,8.599655,0.0006350278854370117,0.050588347,0.006256055,700.39954
8,1,0.0,19.39329957962036,0.05629124,1000.0,-650.7518012950824,8000,8.629837,0.0009725093841552734,0.05629124,0.006042258,704.4419
9,1,0.0,21.799152135849,0.05806083,1000.0,-658.36335876968,9000,8.635943,-0.00032591819763183594,0.05806083,0.0056652594,701.86694
10,1,0.0,24.354060411453247,0.057366878,1000.0,-649.8681887566635,10000,8.633858,0.00021326541900634766,0.057366878,0.0062546334,700.1828
11,1,0.0,27.03473973274231,0.06254889,1000.0,-643.3934360072083,11000,8.657213,0.0005271434783935547,0.06254889,0.0066624787,698.306
12,1,0.0,29.522021770477295,0.058339138,1000.0,-649.499617966596,12000,8.65797,-1.4901161193847656e-05,0.058339138,0.005904301,699.6468
13,1,0.0,31.98362970352173,0.056629922,1000.0,-646.5824415717851,13000,8.682265,5.125999450683594e-06,0.056629922,0.0059706178,702.78674
15,2,0.0,34.427101612091064,0.066340335,1000.0,-662.8898457528396,15000,8.7164345,-1.3113021850585938e-05,0.066340335,0.006240221,704.4496
16,1,0.0,36.865827798843384,0.061610688,1000.0,-670.7194013540934,16000,8.698678,-0.024252891540527344,0.061610688,0.0064120134,706.4271
17,1,0.0,39.298301696777344,0.061118506,1000.0,-670.3386491814165,17000,8.674926,0.0045392513275146484,0.061118506,0.0055634594,709.9251
18,1,0.0,41.73558163642883,0.06489843,1000.0,-666.5283851495466,18000,8.661209,0.0020540356636047363,0.06489843,0.006676287,706.79755
19,1,0.0,44.23793625831604,0.059086993,1000.0,-669.2815583343985,19000,8.70368,-0.0005304813385009766,0.059086993,0.0054603275,703.4321
20,1,0.0,46.72761273384094,0.05998507,1000.0,-670.689113839732,20000,8.66069,-0.00229489803314209,0.05998507,0.005610261,707.24805
21,1,0.0,49.24708271026611,0.06320463,1000.0,-672.7423267415907,21000,8.687811,-0.0007815361022949219,0.06320463,0.005707048,709.82605
22,1,0.0,51.72310018539429,0.06361021,1000.0,-673.3985447195519,22000,8.714467,-0.01023876667022705,0.06361021,0.006714844,710.0098
23,1,0.0,54.19623064994812,0.06643668,1000.0,-677.6967254763782,23000,8.748417,-0.004406094551086426,0.06643668,0.006005805,713.2908
24,1,0.0,56.671130657196045,0.07191372,1000.0,-681.1539801811051,24000,8.732711,0.9162539839744568,0.07191372,0.005354537,703.6453
25,1,0.0,59.143479347229004,0.06297952,1000.0,-680.4020458967553,25000,8.769168,0.003998756408691406,0.06297952,0.005646549,700.8441
26,1,0.0,61.623717308044434,0.06557249,1000.0,-682.9197315964211,26000,8.775883,-0.13558709621429443,0.06557249,0.006591896,705.17993
27,1,0.0,64.09858727455139,0.06178426,1000.0,-693.0960746247787,27000,8.761464,0.11828666925430298,0.06178426,0.0057736966,701.76447
28,1,0.0,66.58103251457214,0.06169017,1000.0,-693.0003603105595,28000,8.739679,0.014341115951538086,0.06169017,0.005457182,703.85297
30,2,0.0,69.05707097053528,0.06569296,1000.0,-696.4827508849926,30000,8.740968,0.17094290256500244,0.06569296,0.0064053396,696.3087
31,1,0.0,71.53070712089539,0.06502028,1000.0,-698.7969290694331,31000,8.727228,0.00777745246887207,0.06502028,0.0053559486,697.9234
32,1,0.0,74.0125629901886,0.06737379,1000.0,-699.8811832543074,32000,8.752155,-0.008691906929016113,0.06737379,0.005902748,698.68225
