EpisodesSoFar,surrgain,meankl,entropy,TimeElapsed,entloss,EpTrueRewMean,TimestepsSoFar,EpThisIter,EpLenMean,EpRewMean,ev_tdlam_before,optimgain
1,0.055721693,0.006611689,8.483345,2.9285318851470947,0.0,-655.2370167001819,1000,1,1000.0,714.00256,0.04843413829803467,0.055721693
2,0.05524198,0.0070615285,8.478692,5.38862943649292,0.0,-658.0374327320611,2000,1,1000.0,696.6238,-0.07467114925384521,0.05524198
3,0.05278162,0.0067656054,8.482543,7.733448266983032,0.0,-680.6707278695011,3000,1,1000.0,699.5639,0.015846967697143555,0.05278162
4,0.058061652,0.0065071727,8.5197,10.38078498840332,0.0,-659.1752113245411,4000,1,1000.0,697.5899,0.028026282787322998,0.058061652
5,0.052882686,0.0072286734,8.561535,13.116032361984253,0.0,-682.1925327239582,5000,1,1000.0,699.7454,-0.0027025938034057617,0.052882686
6,0.05234596,0.005926787,8.595515,15.63048791885376,0.0,-666.9796819407067,6000,1,1000.0,694.2925,0.004069089889526367,0.05234596
7,0.0543401,0.0060862238,8.609553,18.070351600646973,0.0,-667.4525241623973,7000,1,1000.0,697.78955,6.496906280517578e-05,0.0543401
8,0.058178436,0.005670526,8.640137,20.50548768043518,0.0,-671.8184368868375,8000,1,1000.0,694.8237,0.01969975233078003,0.058178436
9,0.05806729,0.00655911,8.650143,23.1693012714386,0.0,-680.7103412995497,9000,1,1000.0,703.34216,0.0005117058753967285,0.05806729
10,0.059049726,0.005613696,8.647095,25.839473724365234,0.0,-671.5998074359817,10000,1,1000.0,699.3846,0.0015461444854736328,0.059049726
11,0.0593439,0.006891472,8.677167,28.195042610168457,0.0,-668.0315366730006,11000,1,1000.0,696.81604,0.021110117435455322,0.0593439
12,0.05674383,0.006169967,8.679701,30.667758226394653,0.0,-671.1678719447544,12000,1,1000.0,694.64374,-0.0015995502471923828,0.05674383
13,0.05802815,0.006222572,8.7036705,33.14096450805664,0.0,-665.0508915751312,13000,1,1000.0,697.63275,0.009604156017303467,0.05802815
15,0.07738205,0.006320213,8.748001,35.5686981678009,0.0,-672.3731754255751,15000,2,1000.0,701.08136,-2.257462739944458,0.07738205
16,0.06312736,0.0053953,8.732614,38.041332483291626,0.0,-673.4992550817176,16000,1,1000.0,699.8688,0.4278637170791626,0.06312736
17,0.06213347,0.0056286487,8.712112,40.4624662399292,0.0,-680.5796324786032,17000,1,1000.0,700.73724,0.555212676525116,0.06213347
18,0.066868424,0.00624107,8.691647,42.880388498306274,0.0,-686.7093286265517,18000,1,1000.0,699.7178,0.542316198348999,0.066868424
19,0.058785744,0.0060121,8.725387,45.307852029800415,0.0,-677.4161043451725,19000,1,1000.0,703.9229,0.2597008943557739,0.058785744
20,0.062440902,0.0063925516,8.686891,47.73012447357178,0.0,-678.5596216196866,20000,1,1000.0,702.87195,0.5543133020401001,0.062440902
21,0.06793908,0.0061023603,8.729003,50.15145206451416,0.0,-682.3648225465779,21000,1,1000.0,700.4748,0.5728784799575806,0.06793908
22,0.06773391,0.006689392,8.745118,52.57315421104431,0.0,-688.1087758365479,22000,1,1000.0,701.5261,0.6110175549983978,0.06773391
23,0.06668739,0.005837016,8.776664,54.99279999732971,0.0,-690.4668164090343,23000,1,1000.0,701.4161,0.1595780849456787,0.06668739
24,0.06872755,0.0063636545,8.753959,57.41311430931091,0.0,-695.5598757068339,24000,1,1000.0,700.0584,0.678595244884491,0.06872755
25,0.06506869,0.0048673893,8.787652,59.83561873435974,0.0,-694.2510563475685,25000,1,1000.0,701.42456,0.8276489973068237,0.06506869
26,0.07270437,0.0060797296,8.779464,62.26070165634155,0.0,-695.573207457901,26000,1,1000.0,703.62946,0.8058661967515945,0.07270437
27,0.06617441,0.005892638,8.752334,64.6771092414856,0.0,-697.6461049619675,27000,1,1000.0,703.3336,0.8317864388227463,0.06617441
28,0.070757926,0.0059933243,8.725394,67.10075306892395,0.0,-705.2637873920536,28000,1,1000.0,701.42773,0.7149735987186432,0.070757926
30,0.07134641,0.005941298,8.708576,69.53234767913818,0.0,-711.9475322739065,30000,2,1000.0,703.7397,0.23372292518615723,0.07134641
31,0.074085474,0.0057854336,8.687689,71.94790720939636,0.0,-714.344259479154,31000,1,1000.0,706.3334,-0.02743208408355713,0.074085474
32,0.0711198,0.007089597,8.720511,74.36005806922913,0.0,-709.6513462204184,32000,1,1000.0,709.2931,0.013487040996551514,0.0711198
33,0.065629736,0.0063371332,8.733291,76.7553071975708,0.0,-709.4050287983881,33000,1,1000.0,711.8965,-0.03327381610870361,0.065629736
34,0.06526633,0.006948159,8.74993,79.15988945960999,0.0,-711.2870657953202,34000,1,1000.0,710.7178,0.7814154773950577,0.06526633
35,0.06864003,0.0050263964,8.782963,81.55602765083313,0.0,-717.3169188708125,35000,1,1000.0,708.72235,0.789425864815712,0.06864003
36,0.067180425,0.0056501324,8.780961,83.95052123069763,0.0,-715.7597122433143,36000,1,1000.0,711.5923,0.5157601535320282,0.067180425
37,0.07100892,0.005173737,8.764271,86.33891820907593,0.0,-712.169669646741,37000,1,1000.0,714.347,0.6247572004795074,0.07100892
38,0.072042935,0.0059222793,8.760512,88.73668479919434,0.0,-714.7832550991501,38000,1,1000.0,713.4018,0.7472851276397705,0.072042935
39,0.07382195,0.006116776,8.788453,91.12866544723511,0.0,-718.3252082279533,39000,1,1000.0,714.2611,0.714646190404892,0.07382195
40,0.07865552,0.0058966223,8.797674,93.53217077255249,0.0,-722.0302424125177,40000,1,1000.0,712.2528,0.7664232552051544,0.07865552
41,0.0647772,0.006124264,8.791123,95.93480944633484,0.0,-723.66862913405,41000,1,1000.0,712.76746,0.42299938201904297,0.0647772
42,0.076790124,0.0072929347,8.828057,98.33922791481018,0.0,-725.8873541895766,42000,1,1000.0,716.35175,0.4717668294906616,0.076790124
43,0.084411584,0.0075254934,8.857907,100.74007821083069,0.0,-728.3031138439159,43000,1,1000.0,717.2065,0.4789418578147888,0.084411584
44,0.06936371,0.006162771,8.837037,103.14486408233643,0.0,-734.3888466512717,44000,1,1000.0,720.62726,-0.04369997978210449,0.06936371
45,0.072307594,0.006084731,8.860729,105.76776814460754,0.0,-737.526052059267,45000,1,1000.0,722.98303,-0.02279198169708252,0.072307594
46,0.06840834,0.006522,8.868273,108.23165035247803,0.0,-744.6481101148089,46000,1,1000.0,723.03845,0.6829373240470886,0.06840834
47,0.06856033,0.0060355244,8.868,110.75066709518433,0.0,-750.3977176329687,47000,1,1000.0,725.4142,-0.053450584411621094,0.06856033
48,0.07029565,0.0056180432,8.889935,113.40510964393616,0.0,-754.7263130925196,48000,1,1000.0,725.7869,0.7801920473575592,0.07029565
49,0.083942816,0.0064700264,8.883544,115.93009877204895,0.0,-757.9429777668541,49000,1,1000.0,726.24677,0.7399284541606903,0.083942816
50,0.07540203,0.006423416,8.878892,118.45385909080505,0.0,-763.8223460621512,50000,1,1000.0,728.6742,0.7272198796272278,0.07540203
