#{"t_start": 1521285404.8002272, "env_id": "Humanoid-v2"}
r,l,t
169.882288,37,52.116481
87.53944,18,52.224427
81.321073,17,52.278588
103.125294,21,52.365429
113.615871,23,52.490526
215.467073,43,52.708326
121.850455,25,52.885293
124.364062,26,53.056649
134.747719,28,53.189965
142.316963,31,53.432105
170.538608,36,53.643926
75.816877,16,53.739861
129.471026,27,53.927809
111.720318,26,54.066414
179.721449,39,54.263176
98.071573,20,54.359502
163.060283,35,54.588041
146.977633,30,54.720831
116.050528,24,54.841426
138.703843,29,54.975193
81.466844,17,55.075436
99.690214,22,55.191603
89.055556,19,55.367138
117.171118,28,55.517958
81.191676,17,55.610031
96.276102,20,55.726384
86.026839,18,55.82336
127.995098,27,55.941742
92.215213,19,56.018397
139.235182,30,56.185626
98.238416,20,56.278327
107.228706,25,56.363374
103.647976,21,56.466711
107.962161,22,56.56772
76.501218,17,56.65594
97.517836,22,56.762387
81.486069,17,56.842185
134.292074,28,56.955421
222.895751,47,57.191759
76.471746,16,57.270205
89.669117,20,57.364908
84.863919,18,59.287847
76.195665,16,59.392825
81.40109,17,59.44161
102.586656,22,59.558032
162.50027,32,59.705959
97.189639,21,59.784681
126.447783,26,59.938714
80.804915,17,59.9909
81.072861,17,60.172469
76.424176,16,60.264489
147.057291,31,60.445265
80.12271,17,60.550148
81.111805,17,60.659922
90.144192,19,60.762008
76.243653,16,60.855051
153.407517,31,61.023525
89.822206,19,61.143438
76.430355,16,61.217691
75.870546,16,61.312659
126.614126,27,61.462203
79.540855,17,61.576015
142.363096,30,61.804533
91.639405,19,61.990772
135.376188,30,62.245143
93.73657,22,62.363467
82.853054,18,62.493524
197.099127,38,62.732014
143.173507,30,62.912924
166.673641,37,63.113163
168.180084,36,63.327798
145.627344,31,63.522908
184.934198,42,63.792244
102.168636,21,63.945343
71.761338,15,63.989021
106.248964,23,64.139231
81.094462,17,64.2505
128.675673,29,64.465991
112.341155,25,64.672721
158.600338,32,64.968241
130.592963,28,65.173692
152.656705,32,65.363435
109.329257,24,65.468259
69.05707,15,65.565759
76.594388,16,66.686838
97.918525,21,66.764951
81.316401,17,66.808508
76.009572,16,66.867167
108.261714,22,67.015753
119.851683,24,67.174586
159.883921,36,67.389412
227.310987,48,67.694981
81.199636,17,67.778737
94.444986,20,67.872041
104.365142,22,68.018586
111.806252,23,68.174757
76.678147,16,68.240924
83.116967,18,68.348925
151.929306,33,68.542262
81.179611,17,68.635291
80.915486,17,68.731028
111.543128,25,68.858758
84.059075,18,68.972585
132.031147,28,69.138105
97.094938,20,69.274531
136.681875,28,69.417501
74.65983,16,69.488634
81.014062,17,69.586787
93.508238,20,69.703851
142.68936,29,69.803442
76.577217,16,69.906054
81.371248,17,69.977027
123.32765,26,70.084211
94.388454,20,70.190097
118.361316,26,70.343744
153.110165,32,70.544457
161.848588,35,70.714344
128.041433,27,70.921237
128.500414,29,71.067525
112.375789,25,71.215045
92.055252,19,71.3128
99.932305,21,71.465397
141.497485,31,71.656301
76.263035,16,71.757786
73.203978,16,71.825143
118.015706,25,72.003972
96.125956,20,72.085228
76.427305,16,72.13593
103.552181,24,72.270953
89.657066,19,73.697043
108.221229,23,73.816572
79.690371,17,73.891951
80.106274,17,73.964082
80.455991,17,74.053781
132.625774,28,74.261216
81.418001,17,74.354754
194.604299,40,74.623321
215.929453,50,74.96756
81.585869,17,75.012952
158.401687,35,75.267662
97.732881,20,75.347776
175.390357,37,75.649397
126.289733,27,75.786182
155.186369,31,75.972803
86.511965,20,76.056548
194.202896,41,76.325707
142.609072,29,76.533525
103.098233,21,76.655267
119.740635,24,76.868271
81.311139,17,76.937263
99.955154,23,77.153988
112.883488,23,77.270115
166.996388,37,77.532245
90.660543,19,77.659786
79.564134,17,77.77616
85.745043,18,77.942631
151.355255,32,78.159444
98.46845,22,78.268026
104.724623,22,78.396763
81.277328,17,78.451031
121.127326,25,78.63087
99.676937,21,78.742035
70.739685,15,78.810997
96.0427,20,78.931585
86.50616,18,79.010453
155.956405,32,79.23618
97.003241,21,79.345355
95.315388,20,79.50849
113.309016,25,79.683766
91.75723,19,79.794388
128.111617,27,79.939325
125.047671,27,81.285088
95.208018,20,81.398228
122.987323,26,81.584649
86.785479,18,81.689997
101.669903,21,81.767808
150.330845,35,82.037727
85.453883,18,82.16134
95.292757,20,82.252908
143.004572,32,82.464604
118.016119,25,82.601759
81.5217,17,82.658498
101.298865,21,82.817921
149.228241,33,83.020914
119.265981,25,83.151226
95.905878,20,83.303053
96.444066,20,83.390354
80.078488,17,83.510538
81.254507,17,83.621865
80.117009,17,83.754139
80.229958,17,83.823485
161.875952,35,84.039997
185.592664,42,84.283583
84.812164,18,84.381517
81.356784,17,84.474605
86.860682,18,84.567054
85.471436,18,84.644324
137.693871,29,84.860484
92.624446,19,84.99586
123.366213,26,85.166677
136.206494,29,85.350547
91.957211,20,85.463981
91.225502,19,85.557149
95.679795,20,85.70692
100.522516,21,85.831471
85.556092,18,85.944956
110.15678,23,86.061266
106.055703,22,86.246518
84.00506,18,86.37348
90.259815,19,86.497129
134.273611,28,86.670239
99.911451,22,86.785218
128.678302,30,86.925863
152.984493,33,87.198989
156.68895,33,87.423832
124.483586,28,88.856356
126.930729,27,89.018648
113.1775,23,89.145995
113.101609,24,89.295666
141.009075,30,89.611218
103.110676,22,89.816995
122.19012,29,89.991505
81.291263,17,90.129324
216.977088,43,90.485358
119.130235,24,90.599332
138.268524,28,90.791012
104.338803,22,90.975745
83.515656,18,91.106796
123.563313,27,91.290659
76.346043,16,91.46795
88.349533,18,91.57011
81.265526,17,91.644486
71.128431,15,91.714274
91.299687,19,91.836771
79.825342,17,91.934305
92.012037,19,92.056123
161.029389,34,92.302289
94.414021,20,92.360629
160.725541,35,92.762338
102.018959,21,93.003752
81.422943,17,93.21664
112.825839,26,93.356634
86.071087,18,93.460961
96.380725,21,93.585709
113.789814,24,93.801317
120.648004,25,94.043392
95.866729,22,94.170064
74.573158,16,94.347026
90.169847,19,94.439994
123.575838,26,94.648454
121.167534,25,94.921504
137.759682,29,95.101605
76.623519,16,95.266883
85.433664,18,95.473258
96.198288,20,95.554979
245.568014,53,96.057222
80.619913,17,96.159216
96.118446,20,96.354139
92.79177,20,96.41884
83.16588,18,98.419754
95.207852,20,98.488947
80.567644,17,98.716456
88.210894,18,98.85655
130.361543,26,99.09105
124.71542,27,99.280972
119.367379,25,99.42023
130.593091,28,99.622747
182.32982,40,99.906907
99.963505,21,100.065793
86.613255,18,100.203142
90.962964,20,100.335124
86.013855,20,100.43688
167.072429,35,100.643302
81.213474,17,100.739974
81.265932,17,100.804216
103.410926,23,100.868983
76.242919,16,101.062604
186.477474,40,101.381895
85.61146,18,101.511034
91.957162,19,101.659541
80.699172,17,101.76247
149.086768,30,102.019574
159.513203,36,102.231363
81.414915,17,102.288413
93.364558,20,102.435451
94.67909,20,102.588209
106.122948,23,102.66624
150.912894,33,102.903037
84.184381,18,103.016371
112.886053,24,103.172687
121.875852,25,103.303929
169.416461,35,103.494194
83.959811,18,103.661926
142.765551,30,103.865443
166.093699,34,104.087889
154.512686,31,104.249469
109.557705,22,104.413009
194.371562,42,104.708001
76.59669,16,104.829803
105.374744,22,105.034833
146.597646,30,105.287664
144.73492,33,107.198845
119.622332,25,107.346273
75.244624,16,107.455726
81.293331,17,107.560738
115.564066,24,107.709668
107.566231,23,107.836076
76.706281,16,107.924086
79.598601,17,108.012299
84.257897,20,108.149717
101.971131,21,108.279808
80.770557,17,108.383755
158.845819,34,108.566554
103.354038,21,108.712328
143.568942,30,108.936251
92.867979,20,109.067071
109.695241,23,109.230585
128.100828,28,109.370809
