#{"t_start": 1521350564.9634275, "env_id": "Humanoid-v2"}
r,l,t
90.514622,19,7.879561
103.804173,22,7.905733
86.225814,18,7.926256
80.849027,17,7.945795
125.152751,26,7.976406
81.085943,17,7.995748
95.925878,20,8.018855
81.254469,17,8.038486
75.470244,16,8.057113
81.127191,17,8.076323
81.251422,17,8.095908
81.222709,17,8.115237
107.039406,22,8.14071
75.316781,16,8.159393
86.058289,18,8.180551
90.809997,19,8.203864
124.164488,29,8.239084
81.274417,17,8.25901
92.638351,19,8.281476
138.643318,30,8.317757
76.631048,16,8.336243
133.857121,27,8.368608
111.669508,23,8.395881
98.822459,21,8.420409
126.356536,26,8.452433
76.658458,16,8.470996
130.329149,30,8.508158
73.426059,16,8.526934
80.3375,17,8.546743
75.893152,16,8.565239
95.152019,20,8.588343
122.060688,25,8.617835
127.143348,26,8.648718
84.572204,18,8.669945
76.64486,16,8.688606
185.536205,37,8.734252
97.22324,21,8.758879
118.259644,25,8.788147
122.99452,26,8.818626
84.693235,18,8.84002
173.835434,38,8.886328
74.180802,16,8.905301
81.98469,17,8.9249
153.949899,33,8.964689
75.060746,16,8.982921
150.080541,34,9.024306
118.099757,24,9.052804
175.643024,35,9.549721
92.975662,21,9.574139
85.210566,18,9.595236
81.258009,17,9.614808
86.313078,18,9.63572
81.285952,17,9.655447
125.120978,25,9.685098
151.661506,32,9.723276
75.441605,16,9.741857
76.077234,16,9.760458
81.30348,17,9.780782
76.580289,16,9.799224
86.300574,18,9.820405
177.608131,37,9.864323
75.236472,16,9.882819
86.959043,18,9.903965
83.682127,18,9.924738
168.999269,36,9.968412
129.13985,29,10.00243
106.689783,23,10.029517
76.482922,16,10.048027
81.447988,17,10.068086
75.864077,16,10.086755
73.752234,16,10.105393
76.526763,16,10.12404
82.342166,17,10.143668
147.152321,31,10.180734
81.279767,17,10.200248
81.056524,17,10.219881
76.153561,16,10.238375
158.354216,36,10.281917
188.988913,41,10.33242
81.076458,17,10.351986
125.190689,28,10.385019
97.904051,21,10.409712
100.695323,21,10.434628
99.716122,21,10.459137
104.599936,22,10.485579
138.784823,29,10.520903
81.63804,17,10.540804
80.828851,17,10.560652
113.497447,24,10.596018
121.721558,25,10.635836
98.032295,21,10.6684
90.66919,19,10.697199
81.283348,17,10.723814
78.48825,17,10.749522
91.469855,19,10.779304
145.522456,32,11.117292
82.55833,18,11.141074
104.303087,22,11.169769
124.691526,25,11.201844
131.954514,29,11.240846
130.072682,28,11.274332
88.377105,18,11.294872
87.578369,18,11.31553
79.181463,17,11.335263
130.125346,27,11.368093
91.66747,19,11.39101
107.165896,22,11.417475
102.75755,21,11.442416
96.528804,21,11.467554
80.985351,17,11.487319
162.819686,35,11.528456
133.932376,27,11.563136
75.970468,16,11.581855
75.041274,17,11.60454
86.071243,18,11.633363
91.394523,19,11.665009
152.544481,37,11.728332
85.069413,18,11.758961
82.172609,17,11.787066
85.914431,20,11.821815
80.804973,17,11.851149
122.678622,27,11.893119
86.649801,18,11.916363
102.346242,22,11.94461
114.930569,24,11.972241
80.201987,17,11.991467
83.451223,18,12.01221
103.218229,22,12.03799
96.460937,20,12.060772
81.1495,17,12.080021
156.858222,35,12.121955
131.490035,29,12.156551
118.451883,25,12.185405
154.764713,35,12.226675
