entloss,EpRewMean,TimeElapsed,EpisodesSoFar,meankl,optimgain,surrgain,EpTrueRewMean,EpThisIter,TimestepsSoFar,EpLenMean,entropy,ev_tdlam_before
0.0,18.47173,5.268021583557129,43,0.0072452305,0.13815665,0.13815665,109.94105514424987,43,1009,23.425,24.14484,0.5815555453300476
0.0,17.984848,10.399267435073853,88,0.006542662,0.13634317,0.13634317,106.47947338134013,45,2024,22.575,24.171555,0.5826763212680817
0.0,19.396948,14.745106935501099,130,0.0074829618,0.15534258,0.15534258,112.7750124778432,42,3041,24.05,24.193665,0.6307481825351715
0.0,22.426937,19.07171630859375,166,0.0069535314,0.14316945,0.14316945,134.5037341127279,36,4084,28.675,24.172298,0.5972496569156647
0.0,23.863283,23.707485675811768,200,0.007328498,0.1801931,0.1801931,142.0230501321726,34,5103,30.3,24.180254,0.6510995626449585
0.0,26.132452,28.15719223022461,230,0.00713289,0.13960615,0.13960615,156.21414291660622,30,6142,33.125,24.153805,0.7650466710329056
0.0,29.25069,32.900383949279785,256,0.0073184962,0.1516155,0.1516155,176.1603743108054,26,7165,37.65,24.139143,0.7463025152683258
0.0,31.269674,37.39220142364502,281,0.007426542,0.15899053,0.15899053,187.30402135845083,25,8183,40.075,24.104557,0.730086475610733
0.0,32.94167,41.90227484703064,304,0.0074899076,0.1574808,0.1574808,209.09391308605237,23,9195,43.65,24.073307,0.8090819120407104
0.0,32.823425,46.40941596031189,326,0.007329036,0.18943104,0.18943104,215.30160069779384,22,10229,44.825,24.060297,0.7877882272005081
0.0,35.47696,51.51620364189148,348,0.0074127223,0.17280316,0.17280316,232.68561796763157,22,11315,48.65,24.070232,0.769083559513092
0.0,34.007233,56.28505063056946,369,0.008484281,0.17441154,0.17441154,226.67938135497198,21,12309,47.425,24.066914,0.6964320242404938
0.0,34.31552,60.89341950416565,388,0.007943096,0.17804903,0.17804903,237.02083637378573,19,13309,49.85,24.063412,0.7353841960430145
0.0,34.34824,65.41891503334045,408,0.0075298883,0.19227715,0.19227715,241.53978652669448,20,14332,51.4,24.043777,0.7248195111751556
0.0,34.732388,69.96888446807861,426,0.00824346,0.18799406,0.18799406,252.7993193974684,18,15348,53.375,24.02612,0.7515457719564438
0.0,37.17742,74.50358986854553,442,0.007566682,0.20265943,0.20265943,280.98798368106975,16,16348,58.425,24.062485,0.7398792803287506
0.0,39.206665,79.21026802062988,457,0.007822126,0.19066213,0.19066213,300.7226228862067,15,17288,62.4,24.046566,0.8292001932859421
0.0,38.696114,83.71699857711792,473,0.008323903,0.18019456,0.18019456,306.51975597985705,16,18261,63.85,24.0367,0.839177817106247
0.0,36.48208,88.22104787826538,489,0.008512956,0.22781424,0.22781424,302.99320743928763,16,19272,63.175,24.025818,0.7901894152164459
