optimgain,surrgain,TimestepsSoFar,EpisodesSoFar,meankl,entropy,EpThisIter,EpLenMean,TimeElapsed,EpTrueRewMean,entloss,EpRewMean,ev_tdlam_before
0.13815665,0.13815665,1009,43,0.0072452305,24.14484,43,23.425,5.638444900512695,109.94105514424987,0.0,18.47173,0.5815555453300476
0.25080633,0.25080633,2028,89,0.0066235326,24.16365,46,22.35,9.970019578933716,105.74647589406132,0.0,17.255342,0.4907667636871338
0.16655385,0.16655385,3055,128,0.006637754,24.186356,39,26.425,14.319265842437744,123.95968962728789,0.0,20.729015,0.5831277966499329
0.14749405,0.14749405,4079,162,0.0075518633,24.143387,34,29.8,18.65979528427124,138.65482381098673,0.0,22.72987,0.5703384280204773
0.1528261,0.1528261,5086,195,0.006759012,24.127361,33,30.825,23.018168687820435,143.8004089599553,0.0,23.230616,0.5917930006980896
0.14917243,0.14917243,6129,226,0.007133832,24.088299,31,34.125,27.412492513656616,161.50129465410166,0.0,25.372425,0.6511969268321991
0.16506103,0.16506103,7114,253,0.0070976056,24.099138,27,36.175,31.79959535598755,169.97255308216467,0.0,26.33114,0.653464674949646
0.14696488,0.14696488,8125,277,0.0070802765,24.069403,24,39.85,36.198081731796265,188.3413039734235,0.0,28.238672,0.7270053029060364
0.16256988,0.16256988,9139,300,0.006974073,24.036055,23,43.925,40.62534022331238,207.15596020848156,0.0,30.895147,0.6029108464717865
0.17257923,0.17257923,10170,321,0.007369534,24.006184,21,47.45,45.049692153930664,222.68176647067452,0.0,32.488365,0.7401900291442871
0.16172375,0.16172375,11185,342,0.007510029,23.979572,21,49.2,49.49706959724426,232.47489648009014,0.0,32.645145,0.7215084433555603
0.16286123,0.16286123,12291,364,0.008072376,23.966976,22,49.175,53.94145202636719,231.7442637179784,0.0,31.995392,0.7919122874736786
0.1682786,0.1682786,13288,384,0.0083429,23.94489,20,49.575,58.521703004837036,231.50288531850438,0.0,31.342255,0.6928275525569916
0.17503697,0.17503697,14345,405,0.008495461,23.905197,21,50.125,62.966479539871216,233.93945994956306,0.0,29.975306,0.7762385904788971
0.1766181,0.1766181,15432,425,0.008011963,23.900457,20,52.175,67.53390049934387,245.06828333141567,0.0,30.279186,0.7553919851779938
0.17955363,0.17955363,16438,442,0.0077074855,23.901834,17,56.075,72.72974896430969,262.99600880576907,0.0,31.85554,0.7761618793010712
0.17805465,0.17805465,17473,460,0.008544588,23.88061,18,57.3,77.29719305038452,273.378013855012,0.0,31.023422,0.8029088228940964
0.18589514,0.18589514,18516,479,0.008406262,23.835386,19,57.05,81.87114024162292,273.65834569736774,0.0,29.87975,0.7955273985862732
