#{"t_start": 1521290839.0518806, "env_id": "Walker2d-v2"}
r,l,t
-2.423034,17,6.464192
-4.416977,9,6.475331
-0.481172,14,6.492111
-1.552542,16,6.511383
-1.385497,10,6.523376
1.950999,33,6.562422
0.206018,27,6.593949
-3.798178,15,6.611727
-2.525066,22,6.635143
2.307371,25,6.65553
12.183106,27,6.677601
-4.982277,19,6.693091
6.004903,15,6.705963
-1.36398,22,6.723659
6.442012,16,6.736872
-3.35805,11,6.745878
-0.056403,12,6.756649
-3.578557,9,6.767478
-7.870357,23,6.795001
-7.892486,14,6.812076
2.919931,16,6.831374
-4.691246,24,6.860275
2.064609,14,6.877028
-0.531042,10,6.88902
1.00913,28,6.921988
-4.094097,12,6.936752
-5.116947,14,6.953716
-4.05573,17,6.973469
-5.288283,21,6.998231
1.97063,14,7.014509
13.049277,38,7.045487
2.891878,15,7.060747
-2.168817,8,7.070497
-3.836179,16,7.08938
-0.278934,13,7.104829
-7.357353,15,7.122018
-3.731103,16,7.14029
-3.154122,12,7.1545
-6.865413,17,7.174553
-2.159345,8,7.18401
0.372636,22,7.209252
-9.292799,20,7.232481
3.453969,20,7.255371
-2.72178,14,7.271715
-7.952245,19,7.292974
6.328594,15,7.310435
0.052413,33,7.348182
-2.358208,17,7.367858
-0.725128,9,7.378459
-2.788394,14,7.394842
8.633061,26,7.424977
1.495895,16,7.442996
-5.752522,17,7.463182
3.016638,15,7.480844
-3.882047,25,7.509788
-8.127783,15,7.526719
0.400718,15,7.544298
-7.555378,17,7.563735
-2.317377,18,8.102546
11.138465,29,8.129397
-11.563352,16,8.142501
-1.180341,30,8.166407
1.539674,19,8.181669
6.699126,44,8.216193
3.836839,28,8.247394
-0.887858,21,8.271746
-1.279021,24,8.299824
2.705051,39,8.344489
0.475488,10,8.356334
-3.600077,18,8.377365
-3.78906,16,8.395996
-1.465396,14,8.412471
0.896978,28,8.445094
3.236033,17,8.465169
-0.061514,22,8.487006
-0.064297,16,8.500015
2.410926,15,8.512116
-0.902201,12,8.522011
2.47291,18,8.537232
-0.25322,13,8.548747
2.178825,29,8.583029
4.456421,20,8.606523
0.146668,10,8.618279
0.376312,21,8.642403
-3.8364,14,8.658442
-1.785733,19,8.68068
3.791255,19,8.703109
-3.508652,10,8.715573
2.065401,21,8.740161
5.242874,30,8.766316
-6.40061,23,8.789447
0.489933,10,8.801007
5.202915,17,8.820587
1.952638,14,8.837043
-1.851112,38,8.880373
0.046224,12,8.894554
2.103311,29,8.927866
1.507749,15,8.947118
-0.44114,17,8.967157
2.671775,36,9.008673
-1.610109,11,9.022137
3.159293,22,9.047338
-5.746943,13,9.06259
1.371015,12,9.076672
3.420922,18,9.097806
1.461291,24,9.125659
21.439648,43,9.175514
0.46285,24,9.368677
-12.158094,15,9.385864
5.688828,35,9.426579
12.498397,30,9.461544
4.410737,14,9.478007
-3.438824,24,9.505961
-2.391875,14,9.522856
13.17612,63,9.595648
-4.193279,23,9.622561
-2.478815,7,9.631016
5.516136,38,9.674427
2.533938,15,9.692269
9.128963,22,9.718362
-2.853821,10,9.730436
-6.844251,19,9.752663
-3.121516,11,9.766252
4.657642,32,9.803279
7.080555,31,9.839375
1.052723,17,9.859735
1.933663,14,9.876453
-2.790236,16,9.895582
-6.502567,20,9.918915
-4.083364,30,9.95402
0.784422,26,9.984643
-1.246398,12,9.998852
-9.203172,14,10.015415
-2.375773,33,10.053873
-2.136291,22,10.079875
-4.187422,10,10.091573
4.5116,33,10.130326
-7.976686,29,10.16425
-3.074256,31,10.20095
0.22235,15,10.219014
15.318276,43,10.269568
1.983333,12,10.283696
-7.174804,18,10.30504
-2.43982,8,10.315037
3.834755,23,10.341668
0.372452,15,10.359658
3.922123,15,10.377507
4.667416,35,10.417952
0.888295,23,10.445142
-5.21277,16,10.464474
8.428045,36,10.506818
-0.807298,14,10.52361
1.407282,14,10.540181
6.673301,37,10.847949
0.020067,16,10.866961
-6.410271,18,10.888477
4.081607,23,10.915668
23.216936,51,10.973708
-1.735786,26,11.004317
3.201996,15,11.02197
-3.211767,12,11.03604
-7.212395,46,11.08949
-3.045773,11,11.103065
-4.638808,12,11.117894
5.819767,31,11.153911
2.511112,16,11.172901
-9.584197,33,11.211185
-0.187124,32,11.248561
-2.2162,9,11.259783
0.125175,28,11.292699
13.730359,33,11.331253
-2.639078,30,11.366185
-5.929195,10,11.378239
1.206176,26,11.408279
-5.117686,18,11.429647
-4.165591,20,11.452966
-13.732721,16,11.472165
9.74118,50,11.52895
-2.294487,21,11.553024
-5.251769,27,11.584394
-1.308701,9,11.595424
2.47282,18,11.616466
-8.997257,10,11.628748
-5.41181,23,11.655481
-2.566619,12,11.669729
0.503753,11,11.682864
13.264876,39,11.728306
-2.570794,55,11.791616
5.363245,21,11.816331
-4.993809,38,11.857002
-5.514544,7,11.86333
2.879179,32,11.888933
-1.811511,22,11.907215
-1.521548,16,11.924254
5.483621,24,11.943593
-4.560289,27,11.965557
-3.536295,22,12.105774
1.629079,30,12.131264
-2.856017,17,12.146336
9.710157,33,12.172685
4.918946,34,12.201057
39.335176,65,12.253569
2.547407,18,12.268543
-2.613538,20,12.285155
5.967508,51,12.325735
-0.272219,15,12.337996
-4.784848,31,12.36283
-0.027683,48,12.40194
-7.730449,22,12.419917
3.126012,54,12.463693
-2.429189,41,12.497853
-5.274777,21,12.515715
-10.535066,46,12.552298
1.856017,28,12.577055
-1.63158,25,12.597656
15.664074,47,12.636248
-2.677888,13,12.647659
-6.586205,18,12.662301
-8.346577,52,12.70579
1.432559,14,12.717757
5.668975,34,12.745584
0.23977,13,12.757954
-12.375703,26,12.77911
-9.626782,19,12.796115
2.434277,43,12.832984
8.856437,37,12.876308
9.063014,38,12.922386
4.857144,17,12.943298
-7.586936,38,12.989134
-9.758484,23,13.185084
10.859523,65,13.263922
1.296851,12,13.279115
15.056237,48,13.337329
3.494488,40,13.385834
6.334511,29,13.421179
-5.477437,50,13.480537
-6.075,23,13.508546
-2.185232,18,13.53111
-4.835293,30,13.567964
6.604719,64,13.644901
-9.562781,20,13.669064
3.037285,24,13.697296
16.501891,36,13.734335
-7.945442,28,13.767566
-2.173075,38,13.813839
-9.287014,43,13.865588
-5.487618,26,13.897481
-1.850596,21,13.922364
0.244396,33,13.962193
-2.279233,57,14.015464
-7.427561,29,14.038917
8.137901,53,14.081111
11.939156,31,14.105889
-2.839746,31,14.13106
3.980326,17,14.144997
-5.743942,15,14.157459
-3.45376,17,14.171394
-2.873522,24,14.191373
-7.716449,29,14.215657
14.717487,52,14.257721
5.003922,28,14.461205
3.871756,39,14.507022
-7.943825,43,14.557318
18.50932,87,14.659874
-6.717157,56,14.715114
-7.141565,25,14.735643
5.025367,42,14.769653
-6.401971,63,14.821908
-9.359204,63,14.873356
14.750802,46,14.914594
-6.205383,119,15.051232
-12.722788,33,15.089524
0.599044,19,15.111997
8.4186,32,15.149208
0.93674,26,15.179871
2.668628,58,15.246527
3.924533,92,15.352328
8.541739,57,15.41855
12.057876,26,15.449249
-8.19528,32,15.487158
13.860077,39,15.532215
18.873644,69,15.782133
0.262562,15,15.80037
1.770235,25,15.829994
4.991423,51,15.889794
10.079197,36,15.931842
5.547577,34,15.971511
15.79511,60,16.041234
22.001451,70,16.120805
14.88954,37,16.164313
-0.60345,48,16.219787
13.444601,34,16.259263
-0.023369,26,16.289853
43.219849,100,16.40468
-1.730647,24,16.432911
-10.89134,34,16.472094
-5.918221,38,16.515912
-8.423476,39,16.560961
3.000237,35,16.601571
1.812003,31,16.637768
8.34837,55,16.70092
-3.596986,19,16.723602
-7.893502,15,16.741293
12.722834,34,16.780838
-1.373573,33,16.819226
25.08644,57,16.885489
-5.501896,83,17.150295
31.515979,89,17.251243
-1.218072,64,17.324902
18.015413,63,17.397609
6.207635,40,17.444429
-1.369376,69,17.523604
-13.010164,56,17.588284
14.639406,53,17.649984
17.625192,58,17.717229
-18.829577,78,17.807036
-1.765288,41,17.854979
2.597406,49,17.911813
19.08345,42,17.960126
4.811405,39,18.005684
17.053191,77,18.094541
6.4219,27,18.126571
-0.252333,22,18.152445
26.243259,64,18.225981
-3.03085,18,18.247387
7.069156,38,18.4719
