EpThisIter,EpisodesSoFar,optimgain,TimeElapsed,EpTrueRewMean,meankl,EpLenMean,entropy,TimestepsSoFar,surrgain,EpRewMean,ev_tdlam_before,entloss
46,46,0.062949486,4.83037543296814,0.2581418753290208,0.0073352354,21.975,8.516168,1021,0.062949486,15.050321,0.3620074987411499,0.0
31,77,0.05848713,8.435666561126709,0.5683221828369295,0.0070957784,30.425,8.474853,2047,0.05848713,20.337782,0.6139191091060638,0.0
19,96,0.05800458,12.43094778060913,2.8939775541199695,0.0068940367,43.0,8.400649,3079,0.05800458,28.821222,0.660463273525238,0.0
15,111,0.06354368,16.44232487678528,5.670267194532002,0.006828429,54.95,8.319015,4091,0.06354368,37.530846,0.5905909538269043,0.0
10,121,0.0642123,20.34332799911499,15.269267898097596,0.0062086564,69.1,8.314745,5110,0.0642123,47.535885,0.7296672463417053,0.0
8,129,0.06470466,24.30986785888672,24.120576863747203,0.0063661877,82.55,8.273803,6092,0.06470466,57.64707,0.877522736787796,0.0
8,137,0.0742396,28.347169637680054,32.57867310886822,0.006214155,99.375,8.260084,7110,0.0742396,69.903435,0.7962997555732727,0.0
8,145,0.05787465,32.39090061187744,32.59765957311477,0.005773616,110.325,8.271958,8113,0.05787465,77.79729,0.7876228541135788,0.0
5,150,0.058797326,36.42578125,40.252313518477266,0.005856651,126.525,8.202589,9088,0.058797326,89.61662,0.9308194145560265,0.0
5,155,0.061583612,40.46542453765869,43.850975734171485,0.006114583,138.8,8.157781,10087,0.061583612,98.7197,0.9130896702408791,0.0
4,159,0.062181648,44.5092453956604,46.94420754633556,0.0060389196,155.0,8.118348,11167,0.062181648,110.60728,0.8710368275642395,0.0
4,163,0.076054364,48.55394983291626,68.571189726033,0.0064718444,167.5,8.074387,12002,0.076054364,120.42222,0.9054612591862679,0.0
4,167,0.0669589,52.60710692405701,78.7947003066945,0.0062985113,179.05,8.083481,12970,0.0669589,129.59042,0.9173108637332916,0.0
3,170,0.064481944,56.65960359573364,80.4637589295873,0.0064568454,196.2,8.06581,14026,0.064481944,142.57443,0.9116113930940628,0.0
4,174,0.07107444,60.71037173271179,89.71365537583449,0.0066767386,209.75,8.030944,15229,0.07107444,152.97305,0.9348372519016266,0.0
3,177,0.062197566,64.77461957931519,124.58957770924954,0.006136486,230.2,8.060485,16318,0.062197566,169.04349,0.9608974605798721,0.0
2,179,0.06427332,68.8362205028534,144.0306973660609,0.006625537,250.0,8.0806875,17350,0.06427332,184.00726,0.8990280330181122,0.0
1,180,0.070304304,72.88994836807251,165.23102499975502,0.0059807817,265.625,8.074326,18257,0.070304304,195.894,0.9472502879798412,0.0
2,182,0.059280552,76.95045399665833,184.68990144147176,0.0060074246,283.725,8.060867,19216,0.059280552,209.80893,0.9556475095450878,0.0
3,185,0.05652386,81.00692057609558,212.0947596514082,0.006097586,304.85,8.045653,20307,0.05652386,225.78476,0.8870809227228165,0.0
3,188,0.06749806,85.06295371055603,236.411850830591,0.0067311786,321.4,8.026012,21470,0.06749806,238.93433,0.8995293751358986,0.0
4,192,0.06904051,89.1212706565857,249.54906859110096,0.0063514747,323.825,7.947753,22520,0.06904051,241.22871,0.9444511085748672,0.0
5,197,0.07445164,93.18338012695312,281.75740618689554,0.0061603356,324.775,7.945251,23823,0.07445164,243.14127,0.9224809780716896,0.0
4,201,0.06010963,97.24407649040222,313.6018293296294,0.007575267,344.2,7.9213896,25422,0.06010963,258.42783,0.9513635076582432,0.0
1,202,0.055340614,101.31905460357666,329.41392314606026,0.0061481306,365.9,7.9367094,26422,0.055340614,274.4427,0.548785388469696,0.0
1,203,0.0660386,105.38580417633057,338.0011174895549,0.0058401413,369.15,7.973523,26768,0.0660386,277.01416,0.9883091133087873,0.0
3,206,0.066297114,109.45736837387085,364.6004932476428,0.0065858625,373.3,7.9567747,27538,0.066297114,280.54468,0.9584615454077721,0.0
2,208,0.049655125,113.52369523048401,401.88941626176484,0.006260329,403.325,7.9850583,29462,0.049655125,302.43567,0.755073755979538,0.0
2,210,0.06269463,117.5898551940918,436.2303193160983,0.0069896556,425.0,8.003785,31026,0.06269463,318.31143,0.7244480848312378,0.0
2,212,0.07181087,121.64818096160889,453.6425875466257,0.0062040254,426.15,7.981564,31687,0.07181087,319.635,0.9715525880455971,0.0
2,214,0.07311262,125.71016907691956,468.639718581112,0.006531938,439.625,7.946351,32814,0.07311262,328.84048,0.8516589552164078,0.0
2,216,0.06730209,129.77520298957825,477.57133168471194,0.0062876362,444.65,7.93684,33796,0.06730209,332.18018,0.9713063053786755,0.0
1,217,0.053003557,133.8445336818695,485.1637887556459,0.007013916,461.95,7.939025,34796,0.053003557,343.89438,-0.0773630142211914,0.0
3,220,0.070438355,137.89885330200195,466.1729143273302,0.005961865,436.8,7.943966,35729,0.070438355,324.43808,0.9522352740168571,0.0
1,221,0.061682038,141.97306752204895,470.6188424643833,0.006865231,448.9,7.9427485,36729,0.061682038,332.17734,0.36194413900375366,0.0
1,222,0.07732502,146.04278898239136,477.26166424490674,0.0071358513,445.275,7.9326134,37027,0.07732502,329.7719,0.8844549432396889,0.0
2,224,0.08677859,150.1032075881958,503.258989990198,0.005954833,462.05,7.921157,38461,0.08677859,341.90717,0.9551306888461113,0.0
2,226,0.06355581,154.16936612129211,527.5465152374139,0.0071212817,482.85,7.908448,40130,0.06355581,356.0221,0.8292783498764038,0.0
2,228,0.06412913,158.2384934425354,544.4720476102499,0.0062634908,506.55,7.8999033,41732,0.06412913,371.51288,0.6771429181098938,0.0
1,229,0.05871074,162.29792857170105,556.8710151827958,0.0067336606,523.85,7.860961,42732,0.05871074,383.18262,-0.06462359428405762,0.0
1,230,0.055906273,166.37221717834473,562.5120143043339,0.006135595,539.575,7.814454,43732,0.055906273,393.32135,-0.14139604568481445,0.0
2,232,0.07326503,170.43642401695251,587.8848987728575,0.006276523,558.9,7.8162723,44876,0.07326503,407.1431,0.9498556666076183,0.0
1,233,0.060108803,174.50461435317993,594.670069670993,0.0066941185,574.1,7.820022,45876,0.060108803,416.56387,-0.15975511074066162,0.0
2,235,0.052732382,178.57330298423767,617.9655696046216,0.009162538,594.625,7.8064694,47106,0.052732382,430.69257,0.7359854280948639,0.0
1,236,0.076063275,182.642915725708,629.2137214136022,0.007463118,605.05,7.8157315,47830,0.076063275,437.5832,0.9746240340173244,0.0
1,237,0.04894723,186.71628952026367,642.0950611149686,0.006956129,625.175,7.8872557,48830,0.04894723,451.01593,-0.003190159797668457,0.0
1,238,0.060385272,190.78090572357178,644.5724778231383,0.007250404,630.675,7.883194,49830,0.060385272,453.74747,-0.008125901222229004,0.0
2,240,0.075276315,194.851407289505,661.1882950564066,0.007147246,647.95,7.8676877,51195,0.075276315,464.47754,0.9575238525867462,0.0
2,242,0.085360475,198.91711974143982,659.6560324975551,0.0066343267,647.55,7.849349,52324,0.085360475,462.27847,0.9403299130499363,0.0
1,243,0.07095272,202.97675800323486,657.1768818264269,0.0066795587,652.4,7.8433223,52864,0.07095272,464.67105,0.8368813395500183,0.0
2,245,0.050472163,207.04884433746338,672.0961831042353,0.0075413845,670.525,7.864673,54105,0.050472163,476.12396,0.7948271185159683,0.0
1,246,0.06807278,211.12204122543335,675.2733053029864,0.0068226852,685.625,7.8662233,54963,0.06807278,485.22363,0.8975564613938332,0.0
1,247,0.070087135,215.1877646446228,671.7322232543166,0.00692776,677.775,7.8618736,55649,0.070087135,478.58505,0.881680391728878,0.0
1,248,0.11119753,219.25461196899414,667.5287342019,0.0059217797,673.875,7.874558,56417,0.11119753,474.66034,0.951833289116621,0.0
1,249,0.056265105,223.32656383514404,665.3457589933175,0.007656048,673.875,7.8791018,57417,0.056265105,472.64877,-0.06344413757324219,0.0
2,251,0.07857472,227.3810453414917,674.4040539668374,0.0061719026,692.375,7.8778043,58953,0.07857472,483.40057,0.9347624778747559,0.0
1,252,0.058458187,231.44350719451904,685.5035461696219,0.007928835,706.65,7.8772125,59953,0.058458187,491.9629,0.09247255325317383,0.0
1,253,0.07880914,235.51654434204102,686.3690562674421,0.0065735197,706.65,7.871325,60953,0.07880914,490.20273,-0.15917110443115234,0.0
1,254,0.060803972,239.57521057128906,701.3694215071498,0.0067018173,728.475,7.8433967,61953,0.060803972,503.52197,-0.017449617385864258,0.0
1,255,0.107482396,243.6317732334137,706.899221987405,0.0068835383,731.475,7.831787,62520,0.107482396,505.2055,0.9167655482888222,0.0
1,256,0.05049732,247.6944065093994,716.7740042273132,0.008089732,743.1,7.8286138,63520,0.05049732,511.66797,-0.039317965507507324,0.0
1,257,0.059104417,251.7650032043457,721.1285236617588,0.006351352,743.1,7.824521,64520,0.059104417,509.92236,0.009041845798492432,0.0
1,258,0.09468962,255.8383927345276,735.756806726584,0.0073155444,752.625,7.820492,65520,0.09468962,514.9998,0.7748318314552307,0.0
1,259,0.06284623,259.9021418094635,752.9974735068843,0.007011465,774.375,7.8081093,66520,0.06284623,528.2587,0.001312553882598877,0.0
1,260,0.050037757,263.9712493419647,768.4794276720608,0.0065920027,794.775,7.8212857,67520,0.050037757,540.0328,0.11371105909347534,0.0
3,263,0.060545005,268.04787516593933,774.196756229789,0.0074355584,797.2,7.843582,69476,0.060545005,537.74396,0.803129032254219,0.0
1,264,0.08313944,272.11407136917114,766.3132479935988,0.0061575915,791.75,7.8369746,70131,0.08313944,532.589,0.9372862502932549,0.0
1,265,0.060228642,276.17877554893494,771.4504876173497,0.00711153,791.75,7.840442,71131,0.060228642,530.544,-0.09103095531463623,0.0
2,267,0.0699499,280.2494201660156,762.8516617898588,0.0069091497,781.45,7.815722,72388,0.0699499,520.2135,0.6830659806728363,0.0
1,268,0.05901153,284.31274938583374,769.8968910444507,0.00745672,791.4,7.8342857,73388,0.05901153,524.74786,0.0049285888671875,0.0
2,270,0.06767423,288.38219571113586,752.1652352257157,0.006811579,777.4,7.84187,74828,0.06767423,509.98926,0.7191992700099945,0.0
2,272,0.08694581,292.4336190223694,755.4484896470385,0.0076448927,779.775,7.8497443,76067,0.08694581,508.7509,0.9644730649888515,0.0
2,274,0.06681353,296.5006880760193,757.7797143529087,0.006361708,772.875,7.8168344,77791,0.06681353,501.11572,0.7689720690250397,0.0
2,276,0.06285362,300.56306171417236,771.9909110851373,0.006456388,789.675,7.8320885,79417,0.06285362,508.7154,0.7147689461708069,0.0
2,278,0.08429098,304.62704253196716,757.7257754396893,0.0070749754,772.2,7.8361697,80718,0.08429098,493.91724,0.9104663506150246,0.0
1,279,0.08882326,308.7065453529358,755.8771122218662,0.0063146125,772.4,7.8307486,81718,0.08882326,491.44003,0.5160908102989197,0.0
1,280,0.054013208,312.77476930618286,766.6073185489361,0.0067848135,788.075,7.8526607,82718,0.054013208,498.9257,-0.03545355796813965,0.0
1,281,0.09120436,316.84321665763855,757.4227756673259,0.0075801406,777.05,7.857678,83145,0.09120436,490.8846,0.953435555100441,0.0
2,283,0.07162244,320.9092743396759,791.6935867779026,0.0073695937,796.025,7.8910985,84705,0.07162244,501.06427,0.6759144365787506,0.0
2,285,0.069448836,324.969975233078,804.2923469889707,0.0069514755,809.475,7.8889008,86484,0.069448836,505.1993,0.7172934412956238,0.0
2,287,0.07781885,329.0423800945282,800.5411712460802,0.006687765,799.45,7.880001,87627,0.07781885,496.29816,0.8601973652839661,0.0
1,288,0.07092582,333.12071990966797,799.657479993704,0.0068389336,797.95,7.8891754,88335,0.07092582,493.7674,0.9315344840288162,0.0
1,289,0.06681561,337.1959402561188,804.3287957235415,0.008072451,797.95,7.898059,89335,0.06681561,491.65314,-0.015051603317260742,0.0
1,290,0.07957685,341.25841760635376,811.234671854836,0.0077539003,799.8,7.8717194,90335,0.07957685,490.50537,-0.0010426044464111328,0.0
1,291,0.07176078,345.3346252441406,815.3929660791167,0.007741486,809.55,7.867417,91335,0.07176078,493.2713,-0.07594418525695801,0.0
1,292,0.06422433,349.4066581726074,811.3677671835561,0.008442413,809.55,7.8530245,92335,0.06422433,489.93573,-0.004683732986450195,0.0
1,293,0.07585427,353.4756143093109,813.41301853842,0.0073987385,809.55,7.8660927,93335,0.07585427,487.74005,-0.024617671966552734,0.0
1,294,0.081226945,357.53931951522827,809.1212363731372,0.0075970497,804.65,7.8422246,94139,0.081226945,482.61688,0.8869740888476372,0.0
1,295,0.10394068,361.6094913482666,809.0324887195457,0.0075746253,815.45,7.847397,95138,0.10394068,485.75577,0.8554295897483826,0.0
1,296,0.07068311,365.68028235435486,808.0114787622408,0.007121601,815.45,7.8271637,96138,0.07068311,483.41797,-0.015391349792480469,0.0
1,297,0.07052309,369.76269125938416,806.5878858095041,0.0075015123,815.45,7.8189206,97138,0.07052309,480.48505,0.005282402038574219,0.0
2,299,0.078131735,373.84224915504456,795.5284381723519,0.007482891,804.65,7.8077397,98706,0.078131735,469.90903,0.6133102476596832,0.0
1,300,0.074698605,377.92656660079956,795.7521261463885,0.0068399124,804.65,7.809632,99706,0.074698605,467.69595,0.04573202133178711,0.0
1,301,0.088512294,382.005562543869,794.5019707774056,0.008056827,804.65,7.8137326,100706,0.088512294,465.06787,0.1741461157798767,0.0
1,302,0.09574197,386.08509039878845,802.164198995352,0.007517871,820.3,7.8087287,101631,0.09574197,471.5914,0.8075514733791351,0.0
2,304,0.08643484,390.17360067367554,789.8633986640001,0.0076448023,818.925,7.7933965,102888,0.08643484,466.2541,0.7162025570869446,0.0
