surrgain,EpRewMean,meankl,EpLenMean,entropy,TimestepsSoFar,EpisodesSoFar,ev_tdlam_before,EpTrueRewMean,EpThisIter,entloss,TimeElapsed,optimgain
0.062949486,15.050321,0.0073352354,21.975,8.516168,1021,46,0.3620074987411499,0.2581418753290208,46,0.0,4.926389932632446,0.062949486
0.059607804,20.58881,0.0070773917,30.3,8.484419,2034,76,0.6042956709861755,1.285080478108916,30,0.0,8.92705249786377,0.059607804
0.058189947,29.230978,0.0066510476,43.35,8.416508,3063,95,0.6534178853034973,2.7768489055916383,19,0.0,12.900187969207764,0.058189947
0.066218354,38.253197,0.006236796,56.55,8.396499,4094,108,0.5378294885158539,9.636400185403751,13,0.0,16.863979816436768,0.066218354
0.06292416,48.571068,0.0065656286,71.625,8.351264,5193,121,0.5917573571205139,9.873297948937036,13,0.0,20.836660385131836,0.06292416
0.060352117,58.916344,0.0067275837,86.05,8.310927,6244,129,0.8670187592506409,11.848114931692734,8,0.0,24.817673444747925,0.060352117
0.059416454,73.56753,0.006130875,106.0,8.33392,7303,135,0.754541352391243,21.420684974461278,6,0.0,28.77421545982361,0.059416454
0.062226843,79.49626,0.006470172,112.95,8.306094,8339,143,0.8998097702860832,32.07650083685636,8,0.0,32.749342918395996,0.062226843
0.061544914,88.238686,0.007061602,124.3,8.307255,9280,149,0.9243182092905045,54.57277160634178,6,0.0,36.72489047050476,0.061544914
0.062932454,100.24359,0.006975704,139.675,8.236561,10308,155,0.8896371871232986,78.71266508140268,6,0.0,40.70402193069458,0.062932454
0.058476616,113.67116,0.0065505225,156.95,8.258593,11381,160,0.9251560941338539,100.66126686744283,5,0.0,44.678590297698975,0.058476616
0.06475185,122.14085,0.0062476257,168.1,8.244807,12450,165,0.9036395102739334,117.048455430179,5,0.0,48.6605429649353,0.06475185
0.060202785,126.41829,0.0060114777,173.375,8.211425,13179,169,0.9230603650212288,127.90076022682615,4,0.0,52.63810086250305,0.060202785
0.0614015,133.80566,0.006253601,182.4,8.227299,14186,172,0.9069834351539612,141.98032842085863,3,0.0,56.62385892868042,0.0614015
0.06312538,144.59676,0.0061169397,196.75,8.231556,15173,175,0.9193107113242149,149.12831584023766,3,0.0,60.617082834243774,0.06312538
0.057273764,156.80124,0.0064697517,212.9,8.236935,16174,178,0.9160165786743164,161.25855287429513,3,0.0,64.61559748649597,0.057273764
0.061176673,159.15176,0.006423572,216.225,8.245713,16846,182,0.9213610589504242,166.69103335300125,4,0.0,68.60742807388306,0.061176673
0.05929914,171.69504,0.007931216,233.0,8.274659,17659,183,0.89229866117239,174.68099226521124,1,0.0,72.60965466499329,0.05929914
0.0721204,174.0721,0.006289505,236.2,8.242797,17952,184,0.9166381061077118,178.75140034422583,1,0.0,76.59447574615479,0.0721204
0.065138355,184.20071,0.0065302914,249.425,8.267167,18607,185,0.934282124042511,193.75271214949834,1,0.0,80.57617330551147,0.065138355
0.068084314,193.65302,0.006109044,262.15,8.236439,19623,188,0.9072855561971664,198.48427003388687,3,0.0,84.57554841041565,0.068084314
0.078865014,201.59616,0.0056433743,273.4,8.203612,20647,191,0.9138927161693573,212.2527886858614,3,0.0,88.55401110649109,0.078865014
0.05782085,218.16202,0.007251959,295.9,8.19276,21647,192,-0.10726690292358398,228.00751445194692,1,0.0,92.54484105110168,0.05782085
0.06609331,225.98589,0.007126473,306.25,8.169315,22558,195,0.9492485970258713,239.22327880748216,3,0.0,96.53394222259521,0.06609331
0.077930346,239.50249,0.00613516,324.975,8.180435,23797,197,0.8714083880186081,260.02988762003787,2,0.0,100.52247762680054,0.077930346
0.047683045,254.63667,0.006485671,345.65,8.141955,24797,198,-0.028760194778442383,277.4449677180022,1,0.0,104.52684926986694,0.047683045
0.042978983,267.08344,0.007864035,363.375,8.172175,25797,199,-0.1276477575302124,290.9130284918245,1,0.0,108.52670240402222,0.042978983
0.049212467,282.93634,0.006198829,385.4,8.166813,26797,200,0.003335297107696533,310.78105513004414,1,0.0,112.53241348266602,0.049212467
0.0326773,297.88043,0.0075536794,406.275,8.166061,27797,201,-0.01753842830657959,326.14020036638584,1,0.0,116.52926445007324,0.0326773
0.04606752,313.63535,0.0075622546,428.0,8.1460085,28797,202,-0.05026352405548096,342.0057233132744,1,0.0,120.53612279891968,0.04606752
0.054149613,326.60538,0.0070246086,446.475,8.194335,29797,203,-0.03195011615753174,357.958879733511,1,0.0,124.54622673988342,0.054149613
0.037307918,341.41083,0.007476978,467.65,8.190551,30797,204,-0.010475516319274902,370.8103798969199,1,0.0,128.5442295074463,0.037307918
0.06033471,353.3771,0.005622535,485.55,8.155641,32249,207,0.7326131165027618,379.720527726357,3,0.0,132.54408645629883,0.06033471
0.074682504,367.99594,0.007089165,506.45,8.152527,33249,208,0.23752272129058838,401.0256023889307,1,0.0,136.55054116249084,0.074682504
0.04688512,382.17474,0.007866483,526.75,8.211044,34249,209,-0.04475677013397217,420.9588222298029,1,0.0,140.56089067459106,0.04688512
0.08191599,387.78564,0.00662603,536.325,8.201661,35249,210,-0.0400853157043457,426.00127619108434,1,0.0,144.56793451309204,0.08191599
0.058506947,408.26898,0.006873077,567.025,8.221558,36867,212,0.5065474510192871,446.6512560299323,2,0.0,148.5640869140625,0.058506947
0.061307542,416.8624,0.0058923545,580.425,8.201846,37867,213,-0.09253180027008057,457.85597716442373,1,0.0,152.5694773197174,0.061307542
0.0869924,430.24854,0.006315696,600.075,8.239332,38867,214,0.8611352443695068,481.0767264442464,1,0.0,156.5709445476532,0.0869924
0.05179365,441.41974,0.00687008,617.35,8.214232,39867,215,-0.017414093017578125,497.7790069244411,1,0.0,160.57952404022217,0.05179365
0.06143881,452.22443,0.007330833,633.775,8.205733,40867,216,0.005108058452606201,512.1302192932264,1,0.0,164.5937955379486,0.06143881
0.07087283,463.23477,0.0071362923,650.4,8.170239,41867,217,0.6351296901702881,531.2133885933554,1,0.0,168.59126138687134,0.07087283
0.07398019,474.2916,0.0064286194,668.05,8.134387,43099,219,0.5552606284618378,542.5132967987956,2,0.0,172.58958888053894,0.07398019
0.055395395,489.0878,0.0073131733,690.275,8.11371,44099,220,-0.14043879508972168,561.2842331773047,1,0.0,176.58304953575134,0.055395395
0.06777996,500.51553,0.0065628523,707.425,8.134204,44884,221,0.9589090459048748,581.3573649736065,1,0.0,180.58380937576294,0.06777996
0.06709341,512.2621,0.007132525,725.95,8.12059,45884,222,-0.17503559589385986,593.1059375029197,1,0.0,184.5813045501709,0.06709341
0.06910361,510.57486,0.007086186,727.975,8.141292,47726,225,0.8153218179941177,608.7812739702429,3,0.0,188.58345937728882,0.06910361
0.06781691,508.83252,0.007017159,725.825,8.157592,47896,226,0.9224063530564308,607.5818645644318,1,0.0,192.5832281112671,0.06781691
0.062320523,521.0863,0.0072872764,745.175,8.134019,48896,227,-0.036872267723083496,625.9282194501822,1,0.0,196.5874319076538,0.062320523
0.05903945,527.74036,0.007407856,756.825,8.144484,49896,228,-0.0008295774459838867,637.7589141139845,1,0.0,200.59033012390137,0.05903945
0.056365035,533.5936,0.007377896,767.825,8.167295,50896,229,-0.0004571676254272461,641.5644910313138,1,0.0,204.59790134429932,0.056365035
0.05690743,545.0498,0.0072121453,786.275,8.151612,51896,230,-0.13743877410888672,654.4663220528506,1,0.0,208.6036787033081,0.05690743
0.051260367,557.68036,0.0084458105,806.225,8.159619,52896,231,-0.01142728328704834,675.2201102466782,1,0.0,212.61730432510376,0.051260367
0.06169861,555.12354,0.0072181537,806.225,8.158462,53896,232,-0.025006532669067383,678.9044098870933,1,0.0,216.62068581581116,0.06169861
0.06054727,563.24774,0.007738179,820.75,8.152221,54896,233,-0.001170039176940918,687.568149551236,1,0.0,220.61860418319702,0.06054727
0.062784225,576.3182,0.006467131,842.075,8.150742,55896,234,-0.00882565975189209,708.2129233648691,1,0.0,224.6218445301056,0.062784225
0.062480398,585.6957,0.0063975053,858.45,8.13832,56896,235,-0.04247307777404785,718.66189505348,1,0.0,228.62146759033203,0.062480398
0.06214254,590.73975,0.0069544166,870.75,8.16846,58627,237,0.15017372369766235,724.1467151180348,2,0.0,232.62325596809387,0.06214254
0.0732431,579.17926,0.006336321,855.95,8.147034,59035,238,0.6452638804912567,713.5746966962621,1,0.0,236.620854139328,0.0732431
0.075300105,571.721,0.008077297,847.6,8.13539,59701,239,0.5352038443088531,708.7187234559681,1,0.0,240.61611652374268,0.075300105
0.06813039,540.1139,0.0073489854,807.45,8.124146,61095,242,0.7128078937530518,684.3337491341244,3,0.0,244.6259093284607,0.06813039
0.047699265,538.1917,0.0078011304,807.45,8.1878,62095,243,-0.008524298667907715,689.4473129502969,1,0.0,248.62092685699463,0.047699265
0.06275865,536.38135,0.007658505,807.45,8.195737,63095,244,-0.07668697834014893,696.2698933138093,1,0.0,252.61339235305786,0.06275865
