#{"t_start": 1521329745.8443499, "env_id": "HalfCheetah-v2"}
r,l,t
-705.312746,1000,8.265884
-677.098276,1000,9.811472
-519.30307,1000,11.154848
-657.23459,1000,12.425909
-445.373864,1000,13.973922
-687.344751,1000,15.38664
-539.569023,1000,16.732184
-629.964328,1000,17.980137
-542.492044,1000,19.214655
-487.892524,1000,20.391367
-593.630445,1000,21.514674
-644.202515,1000,22.674474
-535.607108,1000,23.970981
-632.306311,1000,25.241261
-497.158025,1000,26.592969
-576.859504,1000,27.878178
-513.932132,1000,29.129425
-551.508716,1000,30.404868
-486.583155,1000,31.551704
-464.937439,1000,32.662762
-499.78739,1000,33.859306
-519.198401,1000,35.090168
-480.350343,1000,36.245588
-476.701717,1000,37.362033
-449.14136,1000,38.515955
-542.243914,1000,39.722521
-496.550832,1000,41.227325
-528.79453,1000,42.719364
-523.845356,1000,44.099086
-546.700322,1000,45.345254
-454.146515,1000,46.520898
-503.307705,1000,47.904165
-465.85845,1000,49.320785
-565.245963,1000,50.576217
-497.684489,1000,51.78418
-427.501756,1000,53.117921
-476.573752,1000,54.31316
-503.743499,1000,55.522061
-439.802682,1000,56.688631
-496.13514,1000,57.85622
-419.847288,1000,59.286308
-486.941221,1000,60.460486
-451.615623,1000,61.452959
-474.078112,1000,62.618982
-369.78763,1000,63.793579
-382.251791,1000,64.995136
-424.650661,1000,66.193862
-384.566339,1000,67.395304
-409.32361,1000,68.603848
-368.068877,1000,69.784701
-386.66561,1000,71.06146
-428.014358,1000,72.389251
-374.885104,1000,73.582351
-490.291515,1000,74.783104
-362.057521,1000,75.934499
-267.70831,1000,77.132708
-402.090229,1000,78.318053
-393.13922,1000,79.518051
-445.670157,1000,80.690691
-416.599456,1000,81.892858
-330.806432,1000,83.262912
-353.548156,1000,84.802296
-424.10572,1000,86.414072
-373.27668,1000,87.894382
-443.477458,1000,89.408633
-377.675004,1000,90.904658
-394.883865,1000,92.21277
-350.696562,1000,93.443483
-375.808956,1000,94.662603
-336.680434,1000,95.829371
-370.272277,1000,97.113489
-389.379425,1000,98.576916
-441.165895,1000,99.952715
-358.400034,1000,101.435182
-377.089922,1000,103.00745
-463.209774,1000,104.520034
-371.054561,1000,106.054118
-351.312434,1000,107.447104
-346.410354,1000,108.836666
-389.669357,1000,110.191741
-320.256978,1000,111.58582
-342.830313,1000,112.982177
-398.893241,1000,114.325492
-348.557222,1000,115.729164
-337.947981,1000,117.239788
-330.358992,1000,118.391328
-357.917155,1000,119.876261
-309.492902,1000,121.294195
-341.472513,1000,122.75998
-296.912185,1000,124.181313
-313.662039,1000,125.648362
-349.535401,1000,127.052976
-316.234111,1000,128.561915
-288.576774,1000,129.95724
-310.146061,1000,131.509435
-256.052632,1000,132.968989
