#{"t_start": 1521290132.950668, "env_id": "HalfCheetah-v2"}
r,l,t
-575.01908,1000,2.597373
-645.395117,1000,3.450091
-595.792274,1000,4.111581
-725.717043,1000,4.827137
-718.201819,1000,5.487548
-647.839035,1000,6.143923
-607.700943,1000,6.807881
-670.734207,1000,7.467464
-670.652741,1000,8.127324
-642.829004,1000,8.792375
-573.469767,1000,9.451203
-825.114918,1000,10.110644
-659.776033,1000,10.777074
-594.322001,1000,11.435243
-628.2444,1000,12.094078
-609.592538,1000,12.761086
-620.350585,1000,13.420612
-717.388706,1000,14.078684
-619.510372,1000,14.744187
-662.638703,1000,15.4031
-659.973036,1000,16.062993
-581.274171,1000,16.730668
-784.442028,1000,17.390967
-709.014151,1000,18.051998
-694.404449,1000,18.721888
-711.420106,1000,19.387446
-727.113545,1000,20.052777
-491.790522,1000,20.726327
-700.94117,1000,21.391851
-641.291097,1000,22.057146
-696.222096,1000,22.726344
-660.384436,1000,23.389043
-589.015282,1000,24.051206
-741.69587,1000,24.723139
-674.186541,1000,25.387152
-720.336255,1000,26.052112
-658.341866,1000,26.720716
-698.714185,1000,27.383064
-707.987386,1000,28.04526
-600.822607,1000,28.716739
-714.235623,1000,29.565812
-776.732249,1000,30.223026
-664.5065,1000,30.779199
-591.235575,1000,31.448977
-697.32739,1000,32.111186
-632.014141,1000,32.771175
-648.918214,1000,33.438791
-713.480462,1000,34.096371
-873.468518,1000,34.75385
-862.580687,1000,35.422607
-781.419333,1000,36.083483
-717.109881,1000,36.743728
-736.533873,1000,37.410592
-722.632838,1000,38.067467
-730.125659,1000,38.726439
-665.00546,1000,39.391861
-723.224214,1000,40.050207
-845.488611,1000,40.707803
-711.176404,1000,41.373407
-700.520029,1000,42.030858
-681.724522,1000,42.686113
-660.270278,1000,43.351694
-985.993494,1000,44.007374
-872.510922,1000,44.66613
-809.188419,1000,45.331646
-755.512991,1000,45.988029
-822.548509,1000,46.640944
-823.148776,1000,47.308522
-755.78711,1000,47.96525
-723.804005,1000,48.622001
-817.5753,1000,49.287943
-812.840207,1000,49.947361
-830.394768,1000,50.602927
-806.623937,1000,51.269277
-908.744713,1000,51.927552
-697.877853,1000,52.58591
-725.978359,1000,53.251221
-901.341062,1000,53.911041
-698.354157,1000,54.565389
-817.404081,1000,55.23161
-706.729475,1000,55.890962
-796.96452,1000,56.583531
-835.665361,1000,57.246207
-767.386021,1000,57.901891
-824.050451,1000,58.553814
-673.449073,1000,59.106819
-918.807426,1000,59.767223
-820.374942,1000,60.413845
-739.012717,1000,61.057132
-786.552662,1000,61.715028
-902.206546,1000,62.359508
-852.897802,1000,63.007555
-835.728593,1000,63.663965
-969.566164,1000,64.311782
-825.655215,1000,64.957845
-657.382175,1000,65.614326
-651.760851,1000,66.259215
-801.257575,1000,66.90447
-854.407298,1000,67.556829
-797.78344,1000,68.198538
-789.625958,1000,68.847567
-862.392227,1000,69.499063
-839.634155,1000,70.148059
-855.64962,1000,70.787659
-802.416473,1000,71.438595
-825.330989,1000,72.121298
-944.359965,1000,72.761569
-866.149877,1000,73.410171
-855.648591,1000,74.0507
-474.959942,1000,74.686622
-890.277948,1000,75.334754
-765.961067,1000,75.975165
-937.144646,1000,76.613418
-857.031094,1000,77.287297
-714.995699,1000,77.931954
-815.770748,1000,78.577516
-744.094048,1000,79.231499
-837.111921,1000,79.87317
-818.638333,1000,80.515613
-886.952788,1000,81.164128
-884.506223,1000,81.809007
-816.248768,1000,82.447706
-928.755975,1000,83.098539
-879.508625,1000,83.743571
-805.799344,1000,84.386186
-808.915779,1000,85.035694
-855.118033,1000,85.677408
-820.49571,1000,86.216838
-1009.717829,1000,86.855678
-886.009395,1000,87.506531
-821.004504,1000,88.147012
-881.074765,1000,88.786315
-875.919638,1000,89.437162
-842.816546,1000,90.07845
-875.277826,1000,90.718493
-840.157193,1000,91.369487
-879.774564,1000,92.014237
-873.050471,1000,92.654513
-857.083855,1000,93.304692
-785.048426,1000,93.948912
-743.689321,1000,94.587667
-845.462375,1000,95.239661
-887.750275,1000,95.886338
-757.726286,1000,96.530946
-913.761414,1000,97.184618
-829.948521,1000,97.830283
-831.246809,1000,98.472557
-811.397342,1000,99.12725
-785.316478,1000,99.769642
-831.880528,1000,100.412889
-930.250786,1000,101.067117
-787.64842,1000,101.713143
-763.952157,1000,102.354023
-810.03353,1000,103.006045
-840.672464,1000,103.651298
-835.496141,1000,104.30534
-831.170253,1000,104.962661
-875.424252,1000,105.614157
-804.666787,1000,106.261757
-905.180253,1000,106.916905
-740.720312,1000,107.567007
-889.228311,1000,108.214739
-825.691069,1000,108.871151
-852.313748,1000,109.601525
-821.428621,1000,110.395042
-897.661667,1000,111.204638
-854.142372,1000,112.008486
-836.39555,1000,112.812403
-822.836412,1000,113.623042
-843.564234,1000,114.421958
-895.093164,1000,115.113041
-902.421561,1000,115.869594
-996.30138,1000,116.522798
-802.229512,1000,117.161892
-780.269331,1000,117.800007
-794.766796,1000,118.446633
-694.706546,1000,119.085812
-847.075754,1000,119.724226
