EpLenMean,meankl,TimeElapsed,EpisodesSoFar,entloss,optimgain,ev_tdlam_before,TimestepsSoFar,EpTrueRewMean,entropy,EpThisIter,surrgain,EpRewMean
1000.0,0.0066466704,2.536280393600464,1,0.0,0.05768524,0.5734157562255859,1000,-595.7922743843475,8.524371,1,0.05768524,781.5771
1000.0,0.0074722706,4.552185297012329,2,0.0,0.060366966,0.4307560324668884,2000,-551.7875266394399,8.574937,1,0.060366966,762.8364
1000.0,0.007373852,6.5665013790130615,3,0.0,0.049878247,-0.0016558170318603516,3000,-594.1303015728641,8.574141,1,0.049878247,774.22565
1000.0,0.0067490567,8.588963508605957,4,0.0,0.05235754,-0.0005387067794799805,4000,-632.3774738226621,8.579589,1,0.05235754,775.5671
1000.0,0.006853332,10.697263240814209,5,0.0,0.05119238,-0.0012102127075195312,5000,-630.9016312212858,8.572187,1,0.05119238,773.71545
1000.0,0.0066657844,12.715012311935425,6,0.0,0.051005237,0.00037747621536254883,6000,-622.4161935569563,8.589954,1,0.051005237,771.7596
1000.0,0.0068069296,14.771232604980469,7,0.0,0.04918393,0.0003127455711364746,7000,-630.2891129136287,8.578072,1,0.04918393,769.92377
1000.0,0.005682361,16.859766960144043,8,0.0,0.050874397,-8.976459503173828e-05,8000,-626.1992800454727,8.609552,1,0.050874397,768.0094
1000.0,0.0059079817,18.85695791244507,9,0.0,0.05622819,0.002129495143890381,9000,-642.1231067948751,8.662276,1,0.05622819,765.7189
1000.0,0.0051188287,21.057135820388794,10,0.0,0.05673892,0.005090832710266113,10000,-648.318131355086,8.645387,1,0.05673892,766.0563
1000.0,0.005392284,23.14619541168213,11,0.0,0.05590763,-0.0004303455352783203,11000,-658.2382427577993,8.645821,1,0.05590763,766.20764
1000.0,0.004925096,25.229238748550415,12,0.0,0.05542208,0.0016044974327087402,12000,-662.9294298067729,8.62537,1,0.05542208,763.998
1000.0,0.006425649,27.32371163368225,13,0.0,0.059912384,0.0015451908111572266,13000,-661.8545695164493,8.610539,1,0.059912384,762.09607
1000.0,0.0055869007,29.391051769256592,15,0.0,0.06355428,0.002328336238861084,15000,-670.340069251478,8.60901,2,0.06355428,762.6517
1000.0,0.0065033017,31.427356243133545,16,0.0,0.060092337,0.0010648369789123535,16000,-668.2499175315929,8.604083,1,0.060092337,761.7688
1000.0,0.0060072057,33.40855956077576,17,0.0,0.061998226,0.0016959309577941895,17000,-679.296330423822,8.632855,1,0.061998226,761.6723
1000.0,0.0060220137,35.379799127578735,18,0.0,0.058928616,-0.02390921115875244,18000,-681.7443548754511,8.619949,1,0.058928616,760.7259
1000.0,0.00597117,37.366422176361084,19,0.0,0.05812999,-0.0018219947814941406,19000,-690.4248128595076,8.631962,1,0.05812999,762.6636
1000.0,0.0059364596,39.40363144874573,20,0.0,0.057240963,0.022442877292633057,20000,-687.9494568432817,8.621082,1,0.057240963,761.88293
1000.0,0.006302798,41.441696882247925,21,0.0,0.06306082,-0.004770159721374512,21000,-701.5875622574915,8.642013,1,0.06306082,763.73
