EpRewMean,TimestepsSoFar,ev_tdlam_before,optimgain,EpTrueRewMean,meankl,entropy,EpThisIter,EpisodesSoFar,TimeElapsed,surrgain,EpLenMean,entloss
781.5771,1000,0.5734157562255859,0.05768524,-595.7922743843475,0.0066466704,8.524371,1,1,2.541785955429077,0.05768524,1000.0,0.0
772.05457,2000,0.01686704158782959,0.05639017,-643.8011114335202,0.007363255,8.580391,1,2,4.632544040679932,0.05639017,1000.0,0.0
773.53534,3000,0.08675634860992432,0.05080021,-643.4164832829305,0.007680502,8.571821,1,3,6.788223743438721,0.05080021,1000.0,0.0
769.2462,4000,0.0015151500701904297,0.055264436,-627.0031995372393,0.0067442064,8.570014,1,4,9.010549783706665,0.055264436,1000.0,0.0
764.6592,5000,-0.001334547996520996,0.052703325,-630.1880468586303,0.006948311,8.564374,1,5,11.190680027008057,0.052703325,1000.0,0.0
760.05664,6000,-0.00045943260192871094,0.04932975,-619.0245714783368,0.0068791583,8.582264,1,6,13.324227571487427,0.04932975,1000.0,0.0
754.88916,7000,-0.0008893013000488281,0.050688084,-629.2950703431219,0.0068989918,8.569138,1,7,15.360970973968506,0.050688084,1000.0,0.0
753.5029,8000,-0.0005403757095336914,0.054855257,-643.4179156665048,0.0063694622,8.59859,1,8,17.38753390312195,0.054855257,1000.0,0.0
748.66595,9000,0.00045949220657348633,0.057113368,-646.250699397168,0.006567507,8.652777,1,9,19.408933401107788,0.057113368,1000.0,0.0
745.01306,10000,0.0010280013084411621,0.058332294,-644.312386052511,0.005659192,8.636472,1,10,21.43978977203369,0.058332294,1000.0,0.0
746.2451,11000,-0.0025949478149414062,0.059235223,-659.5771652053737,0.005481346,8.638118,1,11,23.468574285507202,0.059235223,1000.0,0.0
749.68066,12000,0.0008004307746887207,0.054779332,-669.694931903609,0.005688688,8.619874,1,12,25.520623922348022,0.054779332,1000.0,0.0
751.8271,13000,-0.005594730377197266,0.06455661,-670.1075724973342,0.0058068815,8.606267,1,13,27.566854238510132,0.06455661,1000.0,0.0
752.653,15000,0.0020294785499572754,0.06636281,-668.1057705596878,0.0051114997,8.602298,2,15,29.614412546157837,0.06636281,1000.0,0.0
751.7789,16000,0.005715429782867432,0.06054096,-664.7495117667368,0.0068164673,8.6075325,1,16,31.669010639190674,0.06054096,1000.0,0.0
750.41455,17000,0.0026584863662719727,0.062463082,-668.8279467371988,0.00599394,8.63592,1,17,33.70630764961243,0.062463082,1000.0,0.0
745.999,18000,-0.5005245208740234,0.08005891,-668.802986112845,0.005987742,8.628421,1,18,35.7463321685791,0.08005891,1000.0,0.0
743.52423,19000,0.10447347164154053,0.05670105,-674.3285495520646,0.0057525695,8.640273,1,19,37.78466606140137,0.05670105,1000.0,0.0
745.10187,20000,0.017262816429138184,0.0550294,-672.3306799716378,0.0049899435,8.627198,1,20,39.824007749557495,0.0550294,1000.0,0.0
744.905,21000,0.23634690046310425,0.0663403,-668.843397353319,0.0064499434,8.641183,1,21,41.87242245674133,0.0663403,1000.0,0.0
744.0064,22000,0.42430204153060913,0.069619425,-674.3702654106205,0.0065284474,8.667279,1,22,43.954310178756714,0.069619425,1000.0,0.0
742.39105,23000,0.6247072815895081,0.068484455,-675.74419915677,0.005854698,8.677613,1,23,46.01538562774658,0.068484455,1000.0,0.0
744.68134,24000,-0.0023463964462280273,0.05950272,-678.4258412013384,0.0060778353,8.686236,1,24,48.06536889076233,0.05950272,1000.0,0.0
746.29126,25000,-0.001214146614074707,0.06265321,-682.2797922819168,0.0053192875,8.676824,1,25,50.12657022476196,0.06265321,1000.0,0.0
751.8294,26000,0.06136584281921387,0.067306414,-688.1718579198816,0.0061748545,8.638065,1,26,52.205005407333374,0.067306414,1000.0,0.0
753.5997,27000,0.3147979974746704,0.07132001,-691.8358278731198,0.005937301,8.613826,1,27,54.25138282775879,0.07132001,1000.0,0.0
755.77234,28000,-0.0013184547424316406,0.06732893,-693.6556903425563,0.0064997002,8.567706,1,28,56.29382252693176,0.06732893,1000.0,0.0
754.16736,30000,0.14762139320373535,0.06891464,-699.8293201049459,0.006053423,8.551571,2,30,58.33455181121826,0.06891464,1000.0,0.0
750.5326,31000,0.7305572032928467,0.07349533,-699.4245935056217,0.006596745,8.523739,1,31,60.37753081321716,0.07349533,1000.0,0.0
752.6177,32000,0.03873288631439209,0.06915932,-701.3266751273039,0.005371383,8.553089,1,32,62.434309005737305,0.06915932,1000.0,0.0
748.15295,33000,0.7916444689035416,0.070978194,-703.5999989007323,0.0071932944,8.545528,1,33,64.50644183158875,0.070978194,1000.0,0.0
746.11475,34000,0.8416360467672348,0.071759075,-705.419223521542,0.0064733285,8.564084,1,34,66.54985809326172,0.071759075,1000.0,0.0
752.3311,35000,0.5684939324855804,0.07336001,-707.4603053867933,0.0063968413,8.5620775,1,35,68.60235548019409,0.07336001,1000.0,0.0
754.3801,36000,-0.0018006563186645508,0.07091434,-709.8921123065516,0.0069073974,8.522038,1,36,70.66170239448547,0.07091434,1000.0,0.0
755.48944,37000,0.797395870089531,0.07927175,-713.6575598591288,0.006055439,8.568727,1,37,72.75758075714111,0.07927175,1000.0,0.0
757.2931,38000,-0.021219491958618164,0.06427119,-719.0531419164942,0.0053367363,8.568973,1,38,74.85546898841858,0.06427119,1000.0,0.0
758.6075,39000,0.7631205171346664,0.07971428,-723.23465518257,0.0060222857,8.5359,1,39,76.89602994918823,0.07971428,1000.0,0.0
761.3366,40000,-0.006171464920043945,0.07155685,-729.4195940284279,0.006070907,8.524415,1,40,78.97384929656982,0.07155685,1000.0,0.0
762.5729,41000,0.00013488531112670898,0.06422575,-734.3642982770773,0.006115436,8.526109,1,41,81.02636885643005,0.06422575,1000.0,0.0
766.99365,42000,-0.0004819631576538086,0.063860595,-739.294684435494,0.0072635254,8.545845,1,42,83.06380844116211,0.063860595,1000.0,0.0
771.07214,43000,-0.08217334747314453,0.072800756,-744.8471172291631,0.0065270574,8.549492,1,43,85.11403965950012,0.072800756,1000.0,0.0
772.4766,44000,-0.010602712631225586,0.0656611,-758.487671353925,0.0072580446,8.545576,1,44,87.15133547782898,0.0656611,1000.0,0.0
777.5067,45000,-0.007759571075439453,0.060668617,-768.725340143483,0.0078143515,8.545518,1,45,89.34560918807983,0.060668617,1000.0,0.0
779.6904,46000,0.006886124610900879,0.06742591,-778.6379797771745,0.0059696343,8.528123,1,46,91.39204525947571,0.06742591,1000.0,0.0
782.0521,47000,-0.04812157154083252,0.06949161,-784.8679298092204,0.0062331036,8.534177,1,47,93.44962048530579,0.06949161,1000.0,0.0
783.3719,48000,0.6602686643600464,0.08205284,-787.5608498152354,0.00623947,8.498,1,48,95.59751987457275,0.08205284,1000.0,0.0
