#{"t_start": 1521329159.89264, "env_id": "Hopper-v2"}
r,l,t
9.658683,22,2.971115
5.497544,25,2.993108
7.213446,14,3.003321
14.060916,19,3.016744
7.302334,15,3.028286
17.636517,20,3.042132
9.289128,12,3.050661
16.060317,24,3.06719
29.279068,32,3.093405
20.654259,34,3.119146
17.623651,18,3.13882
16.122666,29,3.169362
9.60507,14,3.184955
7.995057,18,3.210701
6.148912,10,3.217642
18.15265,21,3.232186
7.242519,11,3.240523
10.417465,18,3.253159
7.913116,11,3.260873
6.009615,13,3.270049
33.434424,30,3.290857
10.592073,17,3.303895
7.218629,12,3.312089
9.549978,31,3.332474
6.425329,9,3.338468
8.836209,17,3.349946
14.421316,16,3.36132
7.042912,13,3.371149
5.713546,15,3.381644
7.943496,10,3.388759
21.800394,47,3.424873
5.343103,13,3.434102
6.111954,11,3.442018
20.627836,17,3.454721
31.400168,27,3.473569
8.820911,14,3.483184
11.939053,13,3.492016
11.481897,14,3.503868
16.441521,19,3.519478
3.585218,7,3.526728
4.504789,9,3.534331
9.605635,13,3.543582
10.680428,12,3.551678
51.78662,43,3.580278
15.207437,23,3.596195
6.098042,11,3.605042
16.098435,29,3.626754
16.996482,24,3.649043
8.181313,13,3.664034
22.650258,19,3.690167
14.847697,19,3.711618
8.031709,21,3.745311
38.026376,43,3.79658
19.930231,24,4.308477
13.709489,15,4.318694
34.429607,43,4.353749
5.326869,9,4.360383
11.226062,28,4.380243
7.823359,29,4.400923
18.093721,21,4.415231
6.471067,9,4.422733
82.246755,51,4.45782
8.635728,20,4.471916
18.934851,18,4.483383
19.365898,20,4.497467
10.578078,14,4.507054
19.719531,18,4.51982
11.445017,13,4.530179
20.549596,39,4.559212
8.456315,10,4.56591
11.700699,13,4.575507
21.949988,21,4.589252
32.513495,31,4.610778
12.597712,30,4.631523
18.144522,20,4.6468
30.392518,27,4.665919
75.739477,46,4.696409
22.504323,20,4.709775
7.774515,10,4.716364
7.568287,10,4.723289
9.934249,19,4.744495
9.104931,12,4.753472
11.476325,16,4.764735
5.06537,10,4.772103
27.768844,25,4.789283
8.269153,14,4.799051
14.727395,29,4.819589
14.558758,25,4.838985
11.555431,19,4.860592
9.558726,15,4.872249
8.75259,11,4.879731
19.587907,31,4.901125
10.894116,13,4.910291
30.57623,26,4.931387
7.324951,9,4.941867
22.543147,32,4.969472
16.724767,17,4.980445
23.29146,29,5.00076
185.47533,91,5.20023
10.636156,16,5.212482
76.185439,71,5.267277
8.339966,13,5.276643
14.596699,19,5.289907
33.934985,28,5.308324
78.471776,52,5.341559
37.947457,42,5.372765
8.414964,13,5.381916
17.252444,18,5.395129
56.884474,41,5.422367
24.866652,24,5.439023
13.848429,22,5.455113
12.917629,17,5.468738
10.109316,16,5.479744
17.892913,26,5.497754
21.52387,46,5.5281
21.110252,20,5.541298
11.310582,15,5.551336
14.004576,17,5.564133
9.629999,12,5.573954
13.481536,14,5.583558
23.936347,27,5.60154
41.494863,31,5.62192
10.579089,20,5.635458
15.488394,19,5.647958
9.886791,17,5.659602
23.760602,27,5.680007
28.063617,23,5.695502
25.262048,25,5.712306
9.615623,18,5.72627
34.932725,29,5.750219
30.859618,34,5.775941
9.88383,16,5.788147
211.943134,97,5.856195
117.29552,69,5.903837
152.403669,80,6.089489
15.984849,15,6.102376
8.711621,27,6.121106
60.052091,46,6.153909
14.81794,16,6.164987
26.16129,22,6.181872
47.059289,34,6.208751
10.724503,17,6.220828
8.010103,11,6.228687
162.555026,81,6.287482
8.038241,12,6.297664
25.756053,30,6.319108
15.483985,18,6.331221
18.933396,25,6.347968
19.288202,19,6.36055
180.098216,89,6.419495
27.194183,29,6.438321
7.293426,10,6.444745
13.122342,16,6.455172
17.700046,20,6.467959
27.72987,28,6.486977
89.012739,63,6.532108
5.870528,8,6.537783
72.876411,63,6.577216
55.508289,57,6.618311
14.462151,16,6.630879
17.814308,17,6.642816
37.548187,32,6.663457
19.159549,19,6.675663
13.042593,26,6.69243
15.34712,29,6.713279
31.744337,46,6.749393
52.41994,39,6.914359
116.301545,73,6.969642
7.662341,11,6.978068
75.698762,49,7.011659
14.09249,19,7.029111
61.085022,37,7.05514
50.416533,50,7.089626
88.288008,49,7.121728
76.990622,49,7.154742
45.241332,35,7.177959
17.100027,30,7.198441
48.863538,35,7.221889
17.259311,23,7.240853
35.433338,30,7.262138
8.653561,12,7.271371
12.589202,17,7.283767
134.907289,69,7.333367
34.720372,29,7.355405
142.533893,83,7.414239
19.056208,19,7.428581
87.098291,52,7.464899
64.266507,47,7.495346
65.902949,39,7.520458
46.548867,28,7.54123
27.163859,24,7.557181
56.625053,51,7.589145
70.231894,59,7.760879
154.53433,79,7.816256
18.609742,25,7.832721
70.595074,45,7.864153
35.289302,38,7.888986
18.540021,52,7.92314
43.541489,32,7.946266
70.304769,41,7.973881
200.582665,89,8.036445
108.193368,60,8.083646
127.15155,65,8.138535
19.503,19,8.159636
66.63949,51,8.21141
6.528395,29,8.23943
31.062828,26,8.263648
207.674695,90,8.346586
173.962894,80,8.425973
209.159906,95,8.507381
69.796598,41,8.539058
11.000829,17,8.550604
7.828471,10,8.557851
146.505971,78,8.747067
205.167564,119,8.856914
100.221174,54,8.911607
107.021893,58,8.965118
124.7151,65,9.031538
15.268249,43,9.074358
219.457097,120,9.188072
20.064951,43,9.230154
274.268963,169,9.370913
21.683952,20,9.384346
57.677072,35,9.411234
213.926342,93,9.493671
16.29967,16,9.513192
222.193222,116,9.627786
115.354423,68,9.875752
242.442398,128,9.981808
137.691084,90,10.047287
156.333645,78,10.104303
137.815482,70,10.185473
169.051817,81,10.274206
11.341067,27,10.299023
152.798674,77,10.373359
124.322074,70,10.435937
204.482424,92,10.524776
176.119494,100,10.61283
170.700543,100,10.682814
167.905297,103,10.886724
55.372264,33,10.910565
138.329635,67,10.960559
188.838035,98,11.032892
193.094791,92,11.103472
211.6886,96,11.177628
45.925205,45,11.214341
42.144624,37,11.240198
53.692191,32,11.265005
226.188703,113,11.341325
164.101591,76,11.39688
88.695327,49,11.429122
205.065315,93,11.493345
133.731044,66,11.53609
217.710665,108,11.734951
107.977518,68,11.784005
11.105434,38,11.810694
226.362321,114,11.88486
221.804414,107,11.956205
229.139344,106,12.028996
218.596462,101,12.098263
214.484817,103,12.172197
131.086912,73,12.228484
242.94695,123,12.31806
210.716377,106,12.389237
240.947112,115,12.591447
216.968134,100,12.659383
204.704616,93,12.722717
173.831227,80,12.782365
209.498981,94,12.84608
203.330022,91,12.903097
204.786302,89,12.968725
218.473687,94,13.072431
173.722266,79,13.133847
216.824883,97,13.19944
218.115205,98,13.268232
208.697734,92,13.451161
260.013142,125,13.53257
198.257006,93,13.595064
204.972169,90,13.653885
208.348991,91,13.712712
204.436806,92,13.780927
244.106675,122,13.862115
213.98656,106,13.929674
194.52301,87,13.991278
146.50637,72,14.040405
188.955242,86,14.10062
215.765453,94,14.287599
204.996959,91,14.366836
232.611849,107,14.435975
207.590379,90,14.496386
217.646452,94,14.558802
209.605969,93,14.621532
215.446308,96,14.684442
204.092145,93,14.754263
210.223138,92,14.822886
135.450696,70,14.870511
207.183897,91,14.936597
207.070457,91,15.117573
174.044342,87,15.174345
198.683572,91,15.234163
208.864659,93,15.296277
209.026849,93,15.357981
215.500165,96,15.422654
212.552827,93,15.481137
217.171238,99,15.545143
187.281358,85,15.599779
210.515342,98,15.665284
209.941134,103,15.74708
160.167251,79,15.929788
217.402311,94,16.002518
205.779627,91,16.069874
208.300816,93,16.136274
210.241994,91,16.202903
211.222314,92,16.267562
142.266688,72,16.316872
228.409003,108,16.392281
221.367759,96,16.463816
98.563474,54,16.500495
201.159443,90,16.56367
121.79796,64,16.606847
216.147827,94,16.809354
198.512072,93,16.877332
194.608457,87,16.935068
216.140955,102,17.004952
192.536278,89,17.064889
201.820918,88,17.120497
193.691383,86,17.177556
211.612721,91,17.235711
212.337516,101,17.302908
229.261837,111,17.377315
206.701106,96,17.439623
183.181909,83,17.619025
209.797144,92,17.685626
233.260116,100,17.768787
240.563635,115,17.855345
228.773697,110,17.932407
205.827817,89,18.015431
197.187254,92,18.100623
217.077547,99,18.168371
217.934997,96,18.235583
199.809437,88,18.295899
212.023487,94,18.483409
206.598037,91,18.545295
