EpLenMean,EpThisIter,ev_tdlam_before,EpTrueRewMean,TimestepsSoFar,meankl,surrgain,EpRewMean,EpisodesSoFar,TimeElapsed,entropy,optimgain,entloss
25.94871794871795,39,0.2907909154891968,21.86020142325217,1012,0.00791179,0.04926099,18.221817,39,4.320479393005371,4.2452016,0.04926099,0.0
42.3,13,0.42407065629959106,45.89935677082319,2047,0.0077752564,0.05140417,24.197443,52,7.878906488418579,4.199157,0.05140417,0.0
63.2,8,0.6462337374687195,82.7562086176807,3056,0.0071036024,0.038307436,34.807095,60,11.214207172393799,4.1092157,0.038307436,0.0
82.925,7,0.6500796377658844,116.49541627525473,3967,0.0069146566,0.044841196,46.268906,67,14.764232158660889,4.0781784,0.044841196,0.0
102.05,4,0.7689071148633957,146.0971433799418,4869,0.0057338937,0.046471596,57.233673,71,18.463125944137573,4.0972843,0.046471596,0.0
123.1,5,0.8544241636991501,181.05165991845644,5873,0.005742049,0.041443523,69.81646,76,22.17880344390869,4.050596,0.041443523,0.0
143.575,3,0.8588174283504486,210.12718107287895,6755,0.0052900976,0.047191538,82.58537,79,25.87130832672119,4.0201116,0.047191538,0.0
170.875,2,0.9872770765796304,246.79851181146415,7907,0.006084599,0.036355935,98.838264,81,29.56274938583374,3.9862363,0.036355935,0.0
183.375,2,0.6675961315631866,261.73731212368875,8590,0.006546503,0.053287253,106.12492,83,33.25560975074768,3.9799197,0.053287253,0.0
205.275,1,0.49559712409973145,286.16464139502676,9590,0.0061354404,0.030813599,117.88979,84,36.96756601333618,3.9640522,0.030813599,0.0
221.65,1,0.5337047874927521,303.76330436642104,10316,0.006194993,0.054076966,125.96161,85,40.67938041687012,3.9896622,0.054076966,0.0
245.0,1,-0.12242913246154785,328.1537419289441,11316,0.0069453255,0.028264398,136.9415,86,44.384761810302734,4.04669,0.028264398,0.0
267.3,1,-0.029096484184265137,354.6883693500876,12316,0.0047058705,0.040825136,147.80878,87,48.091628551483154,4.0545344,0.040825136,0.0
286.65,1,0.5890542268753052,373.1329141537685,13243,0.0059210416,0.046427056,156.47725,88,51.80062508583069,4.0409913,0.046427056,0.0
309.425,1,-0.10971510410308838,397.6189966981868,14243,0.0077033183,0.030232117,165.98257,89,55.435327768325806,4.0657716,0.030232117,0.0
336.1,2,0.030920565128326416,427.49950356858017,15408,0.005814971,0.0477337,177.07475,91,58.76598048210144,4.027864,0.0477337,0.0
359.025,1,0.7482730448246002,451.56250030032754,16408,0.005130599,0.040465087,186.49594,92,62.09952139854431,4.0085826,0.040465087,0.0
378.775,1,0.03417038917541504,468.97350019263394,17408,0.00557502,0.026158627,193.61234,93,65.70434594154358,4.083746,0.026158627,0.0
402.425,2,0.27759218215942383,491.322337253365,18490,0.0075112367,0.044165287,203.01724,95,69.15668797492981,4.0195084,0.044165287,0.0
422.775,1,-0.0421067476272583,512.5466269604772,19490,0.0057556927,0.037250012,210.87976,96,72.4877417087555,4.0029902,0.037250012,0.0
447.275,1,-0.0354464054107666,539.9642655061791,20490,0.006085939,0.04066487,221.31577,97,75.81800937652588,3.9723437,0.04066487,0.0
467.625,1,-0.022732138633728027,559.0093014035684,21490,0.007928331,0.034515172,228.82393,98,79.14150714874268,3.9777603,0.034515172,0.0
