#{"t_start": 1521274483.0351384, "env_id": "Hopper-v2"}
r,l,t
9.459691,11,4.14724
17.772045,19,4.179591
28.355528,24,4.217694
8.306103,12,4.236522
9.842023,12,4.255334
17.190914,20,4.28743
10.86306,13,4.307959
6.7886,11,4.325745
20.12952,21,4.359273
4.428195,10,4.375407
15.481172,25,4.415758
4.686614,19,4.44639
16.082956,16,4.472105
6.78876,9,4.486248
11.932928,24,4.524862
100.323208,72,4.663347
39.589668,32,4.763381
6.865294,10,4.78897
19.718738,29,4.870084
18.260136,26,4.924466
7.942724,10,4.940294
10.119848,24,4.985875
18.485801,21,5.02011
12.948941,14,5.054417
7.840345,10,5.071156
57.057875,38,5.189763
13.829209,16,5.23754
16.170266,18,5.291914
8.426477,12,5.327147
181.974164,95,5.606314
6.297107,9,5.634439
46.538239,46,5.715869
38.660269,44,5.787645
17.618573,31,5.837863
7.07464,10,5.853879
5.549574,11,5.885252
13.188217,15,5.909317
13.105074,16,5.95545
7.43764,11,5.994847
7.58091,29,6.07312
9.341327,12,6.113269
20.121608,21,6.168128
22.051061,26,6.21077
64.743782,56,6.303394
12.215331,24,6.997412
25.03478,23,7.032194
15.156336,16,7.066787
5.750588,10,7.083871
48.961072,37,7.17337
12.418891,15,7.204675
14.304991,15,7.236426
34.77038,31,7.299862
24.476811,29,7.360132
7.875576,12,7.384268
18.689662,21,7.42542
22.236641,21,7.468831
32.613609,28,7.526014
8.541787,10,7.544864
11.607024,15,7.573961
12.48318,15,7.601823
8.593127,11,7.623238
9.676306,14,7.651194
14.277174,14,7.679165
7.113203,9,7.696695
8.240984,10,7.712762
11.798467,15,7.737533
9.605938,13,7.762027
9.105263,15,7.790495
9.402227,13,7.815155
7.615367,9,7.830147
40.628708,31,7.881586
7.20353,9,7.89589
6.545253,11,7.917889
10.975782,18,7.952861
47.832959,48,8.047132
9.96354,26,8.095064
8.078942,20,8.133238
5.485317,10,8.151287
9.63988,19,8.189844
66.152329,40,8.26802
25.667148,22,8.317741
32.111874,34,8.382881
13.992267,25,8.424398
11.1137,17,8.45595
9.839413,14,8.485365
80.787,54,8.574099
56.807599,38,8.635129
10.298589,13,8.655458
8.811608,11,8.672843
9.42106,23,8.709725
7.541042,9,8.724251
30.175609,50,8.804605
14.597685,20,8.836552
14.060872,18,8.865965
7.488519,17,9.109576
7.07974,9,9.124018
47.112516,35,9.1801
11.084853,20,9.212738
8.781546,13,9.233979
14.264364,37,9.294994
73.235728,65,9.401472
72.571199,69,9.513623
22.93743,29,9.560372
39.609661,29,9.606681
6.191492,9,9.620998
14.792042,23,9.658323
37.439621,49,9.738336
28.377317,25,9.778795
10.300147,26,9.820936
8.047387,16,9.846739
10.825158,21,9.880697
7.527117,10,9.89674
13.204434,16,9.92292
8.215877,10,9.938815
7.465008,10,9.954772
7.484034,14,9.977337
12.340047,15,10.001389
11.488027,16,10.027099
9.147318,14,10.0495
26.912575,33,10.103156
7.457746,20,10.135595
11.468878,20,10.167866
19.827513,24,10.206811
85.206976,82,10.338487
5.190069,11,10.356453
38.896375,39,10.420006
17.257507,20,10.452122
48.449182,49,10.531971
24.216126,35,10.589107
11.785879,19,10.619882
31.614102,24,10.658244
10.291178,17,10.685934
16.963163,22,10.721063
31.38435,40,11.120492
55.756975,83,11.256919
46.254726,50,11.336684
71.827415,53,11.424275
95.695946,76,11.546346
77.750563,72,11.662767
6.241864,28,11.708564
63.14827,59,11.804546
14.169901,37,11.865035
16.569739,21,11.899055
39.282629,34,11.954058
20.047607,29,12.001331
11.029953,22,12.036552
8.264958,20,12.06867
13.827344,18,12.097583
23.563174,37,12.157343
7.482176,9,12.171786
11.909371,17,12.199199
25.359463,42,12.267061
12.214169,18,12.29638
71.987843,57,12.387029
31.113706,31,12.437308
24.560169,27,12.481019
99.729511,57,12.572492
9.34341,18,12.601097
42.855763,39,12.663419
17.968469,33,12.716308
142.333197,87,13.078881
15.312127,32,13.13065
101.219585,106,13.300751
91.847662,71,13.414299
66.15381,45,13.485919
96.671904,68,13.595035
40.93462,37,13.654198
12.965414,15,13.678127
4.516114,24,13.717028
124.867567,70,13.828276
26.640778,40,13.892524
13.976227,15,13.916898
149.042473,80,14.045856
103.001631,94,14.196556
8.390866,18,14.225925
15.003745,21,14.259742
110.419949,82,14.390305
18.810537,29,14.436787
23.075226,38,14.498519
10.067004,14,14.520614
47.596359,37,14.580659
55.16366,42,14.865983
15.146859,16,14.892208
153.672134,101,15.054888
126.871399,93,15.203833
113.870248,67,15.311547
25.716212,54,15.399538
205.855513,116,15.586102
143.559019,118,15.774747
31.987004,45,15.847113
162.550571,122,16.041284
42.349702,64,16.144032
14.651898,18,16.173369
5.787304,31,16.223336
62.679681,64,16.326443
57.516451,49,16.405521
13.1205,18,16.435135
54.127527,68,16.77689
152.452151,84,16.91077
10.878511,41,16.977259
82.64623,49,17.055394
37.246342,62,17.15557
163.157772,81,17.285984
236.865076,113,17.467474
8.504115,10,17.483556
107.255241,62,17.583796
115.775973,83,17.717416
211.068184,111,17.894858
140.038301,96,18.048859
230.337587,140,18.273092
32.105218,40,18.339597
14.242697,34,18.614274
48.885544,79,18.741596
80.7372,51,18.824232
260.289221,145,19.057296
140.114261,119,19.250191
77.600778,46,19.324152
251.722909,159,19.580801
151.682125,97,19.736485
158.627273,76,19.8583
195.309384,107,20.031831
116.071393,90,20.178582
45.467507,29,20.226073
337.506155,230,20.815146
93.438853,54,20.902153
106.530936,72,21.018893
52.675398,82,21.151959
156.482883,89,21.293569
36.607179,29,21.340632
310.7947,185,21.636259
162.89886,130,21.846367
161.075613,100,22.008245
81.663083,49,22.088422
47.820598,73,22.439732
207.593295,125,22.641583
111.203394,81,22.77399
96.98802,55,22.863327
183.250937,125,23.066145
35.671137,48,23.144201
49.275346,66,23.250705
88.307394,63,23.35306
300.609335,197,23.673026
68.558165,41,23.739271
317.522107,197,24.270797
298.097975,185,24.569317
364.380607,302,25.057823
235.61304,163,25.319934
223.732298,124,25.523494
298.99776,200,25.841019
343.018732,241,26.444349
289.970792,164,26.708108
148.22516,94,26.861201
133.638662,90,27.006108
210.066003,135,27.223759
359.633531,232,27.596267
161.287177,113,28.012158
255.835527,154,28.263935
271.195036,229,28.630109
110.621248,80,28.759912
237.493842,120,28.953494
144.026987,108,29.129344
145.644353,108,29.301019
374.714226,308,30.014272
318.475257,199,30.342393
276.676772,178,30.631654
73.288544,44,30.703455
266.041231,152,30.948569
432.461158,313,31.448781
282.673936,166,31.929586
204.885238,138,32.148777
194.073165,142,32.37698
492.497652,431,33.072632
344.598241,227,33.670279
411.698892,260,34.089283
460.225165,308,34.585701
170.436462,120,34.778547
331.790262,203,35.104874
302.933479,188,35.622719
363.46519,282,36.075628
294.96197,254,36.486083
371.425278,308,36.983239
265.823483,191,37.50735
222.34515,265,37.939614
148.315908,110,38.117628
296.050434,232,38.494003
331.445815,260,38.914393
395.001562,294,39.621155
435.285586,382,40.241415
205.1765,168,40.513639
249.91664,175,40.796468
685.232786,503,41.83608
411.315786,294,42.310268
571.981734,466,43.279229
245.72829,175,43.565119
335.82104,277,44.010494
391.089721,336,44.554606
223.320832,174,45.067455
354.31701,288,45.533814
504.800133,429,46.226013
744.714619,545,47.324188
710.378901,587,48.272283
1097.32161,1000,50.103272
237.840303,208,50.6755
1119.183693,997,52.511335
864.913912,809,53.821104
1020.131666,1000,55.654014
1025.857552,1000,57.507974
1016.795747,1000,59.346618
1015.631579,1000,61.183986
1030.299175,1000,63.04695
1010.884305,1000,64.898168
978.851695,1000,66.736232
1017.601384,1000,68.594257
1006.444978,1000,70.437804
1020.16593,1000,72.293882
1026.676324,1000,74.1595
1006.617508,1000,75.998556
996.192521,1000,77.862813
1001.505269,1000,79.726229
883.499201,933,81.458641
1010.562912,1000,83.298595
1015.789974,1000,85.152869
1017.112633,1000,86.996108
987.212602,1000,88.838968
993.132254,1000,90.695631
985.810959,1000,92.538786
1007.869678,1000,94.38052
1015.841341,1000,96.233687
184.26558,248,96.635402
1005.542912,1000,98.480717
1021.077871,1000,100.324863
1030.940221,1000,102.185806
1015.894665,1000,104.038459
1019.41541,1000,105.883297
1013.663604,1000,107.741022
524.77195,376,108.351816
1032.019143,1000,110.192038
480.614387,431,111.104394
1042.415806,1000,112.962409
947.876704,903,114.649795
317.033277,285,115.115712
525.078438,482,115.893233
275.947834,244,116.290076
530.313195,508,117.339403
1033.686842,1000,119.205845
964.280687,925,120.925138
1036.774082,1000,122.772727
291.360613,256,123.188057
1021.800558,1000,125.051339
1021.860053,1000,126.898474
1010.278684,1000,128.74923
1027.645629,1000,130.61798
1035.17498,1000,132.467315
1029.97411,1000,134.31438
1016.742101,1000,136.179668
1006.682937,1000,138.030504
1013.982922,1000,139.885406
1026.203713,1000,141.754727
1028.167804,1000,143.610098
1022.0626,1000,145.466333
1019.130773,1000,147.346367
1022.506243,1000,149.194247
1040.121568,1000,151.027294
1022.439025,1000,152.89082
1024.191618,1000,154.741987
1018.744994,1000,156.586983
1031.385417,1000,158.443942
1017.870969,1000,160.28944
782.81614,737,161.474335
1027.636835,1000,163.318224
1014.626953,1000,165.190164
1036.641034,1000,167.031778
1050.888925,1000,168.864687
1024.413428,1000,170.731729
1014.896104,1000,172.585184
1025.598332,1000,174.43031
1020.218975,1000,176.290486
1020.405799,1000,178.13683
1030.629677,1000,179.963202
1041.688332,1000,181.803745
849.167557,753,183.231302
1064.956794,1000,185.055885
1059.674612,1000,186.901834
1029.046746,1000,188.77216
1068.990302,1000,190.598744
1056.032125,1000,192.440603
1060.658816,1000,194.283351
1072.512931,1000,196.114848
1095.86118,1000,197.952507
1053.540061,1000,199.78039
1046.377336,1000,201.611126
1046.66911,1000,203.45564
1055.612002,1000,205.287381
602.253574,527,206.133931
1046.20615,1000,207.964266
1045.183449,1000,209.816202
1044.500432,1000,211.648373
1056.44869,1000,213.478719
1130.762116,1000,215.315189
1062.489568,1000,217.137884
1083.312308,1000,218.962128
1071.692181,1000,220.798117
1019.805464,1000,222.621496
1040.195607,1000,224.444135
396.269034,311,224.938903
1030.598828,1000,226.785459
1040.173512,1000,228.626889
1003.125118,1000,230.468273
1025.929206,1000,232.310568
1017.955965,1000,234.143985
540.24946,525,235.208618
1026.218812,1000,236.821603
1036.984046,1000,238.675651
1013.505581,1000,240.506567
279.211659,220,241.072675
1073.042266,1000,242.909378
1019.841642,1000,244.745708
848.39355,801,246.038701
1069.13342,1000,247.851136
1054.748621,1000,249.682905
1044.685424,1000,251.511436
881.524156,802,253.012869
1018.360356,1000,254.855653
1025.551882,1000,256.692693
1038.044391,1000,258.521892
654.030336,635,259.770732
1027.931771,1000,261.59339
1015.185945,1000,263.422094
1051.084125,1000,265.26083
534.323851,462,265.996308
253.369571,228,266.363571
1049.126802,1000,268.182058
1038.05555,1000,270.010259
721.746527,664,271.313947
1062.22581,1000,273.134761
1032.167144,1000,274.957071
1029.613945,1000,276.798564
1028.580947,1000,278.619844
1028.575373,1000,280.447931
178.087775,136,280.665255
1075.395071,1000,282.525651
1029.126902,1000,284.35904
366.67689,328,284.885009
1001.128296,1000,286.714278
1001.063167,1000,288.56425
1037.903982,1000,290.389847
1035.194788,1000,292.221799
540.842775,562,293.359141
1024.120897,1000,295.188476
1039.333599,1000,297.028507
1022.135278,1000,298.872963
1035.729561,1000,300.709852
1045.990336,1000,302.330616
1048.105854,1000,304.166476
1029.631079,1000,306.021537
686.130338,702,307.384402
1040.559248,1000,309.217204
1041.84786,1000,311.056563
106.09563,94,311.208278
1018.008608,1000,313.04138
588.631256,568,314.169848
1037.084025,1000,316.008038
1037.02312,1000,317.842132
1072.397058,1000,319.661953
631.129422,554,320.557357
1040.535035,1000,322.404613
295.946081,268,322.834082
1033.264662,1000,324.658739
1024.549138,1000,326.495664
1008.908443,1000,328.333681
1026.613083,1000,330.158228
1044.073293,1000,331.985103
1093.763016,1000,333.82662
1020.171782,1000,335.654858
1046.601941,1000,337.483508
1041.121807,1000,339.306942
1034.36207,1000,341.127056
1025.54275,1000,342.936541
1031.431452,1000,344.762324
1054.0256,1000,346.572229
1030.027914,1000,348.373424
1034.175574,1000,350.189246
1049.601816,1000,352.002387
1045.4219,1000,353.801678
1059.181317,1000,355.614506
1069.952163,1000,357.410483
1057.109094,1000,359.190244
1045.909409,1000,361.005145
1044.674658,1000,362.797806
1079.75383,1000,364.586689
1054.93826,1000,366.396357
741.437084,690,367.696162
876.921771,797,368.954025
1043.031938,1000,370.738889
1031.666751,1000,372.552235
1084.736321,1000,374.33627
1052.454725,1000,376.125576
1036.924652,1000,377.928007
1058.045268,1000,379.704758
1036.613584,1000,381.49183
1046.044871,1000,383.295826
1047.879753,1000,385.076107
1028.56774,1000,386.857858
1074.168758,1000,388.652753
1060.012143,1000,390.427102
1046.636266,1000,392.209326
1071.705061,1000,393.994806
928.173877,845,395.522432
1051.578037,1000,397.301263
1053.604963,1000,399.094042
978.41055,928,400.763111
1075.710259,1000,402.529656
1102.055744,1000,404.315817
1123.138255,1000,406.082156
1048.894534,1000,407.860004
1070.272387,1000,409.651151
1036.34645,1000,411.437109
285.93269,258,411.843204
369.901737,339,412.375551
1049.50256,1000,414.141605
1044.734107,1000,415.949358
1069.0516,1000,417.718945
1067.692964,1000,419.485477
580.04377,519,420.525315
1102.187568,1000,422.088453
878.077114,778,423.512542
928.805435,843,425.046077
1065.259592,1000,426.837328
713.737278,661,428.084547
586.870904,532,428.922148
301.897395,264,429.333922
1033.492528,1000,431.111315
1057.550639,1000,432.8972
485.209902,452,433.82194
1044.451501,1000,435.597572
1044.772212,1000,437.393674
1023.759951,1000,439.163782
1059.614611,1000,440.937444
1016.898418,1000,442.735096
1053.374779,1000,444.517936
1023.082438,1000,446.296453
904.794337,894,447.919827
1057.797803,1000,449.705205
1015.242634,1000,451.480521
1048.684947,1000,453.265844
1043.545004,1000,454.823207
1043.472621,1000,456.593738
402.823446,370,457.383056
1023.615433,1000,459.170127
101.417132,69,459.278604
1023.521056,1000,461.056192
1026.634836,1000,462.828864
1025.063212,1000,464.620485
972.994465,939,466.29048
1020.373427,1000,468.061247
1016.749989,1000,469.853024
573.777585,565,470.733229
591.413005,564,471.825489
1022.324971,1000,473.596379
1011.641023,1000,475.385509
782.145325,745,476.543711
1007.164379,1000,478.321023
1011.322285,1000,480.091794
978.465582,1000,481.885792
1011.065328,1000,483.661023
997.598136,1000,485.443093
1020.143931,1000,487.241761
557.532689,548,488.308428
213.294817,174,488.576848
581.525055,587,489.695164
1015.064395,1000,491.488743
301.641739,277,491.921767
995.849094,1000,493.699394
984.186166,1000,495.474093
582.51088,569,496.359135
999.040245,1000,498.142982
1016.166208,1000,499.917671
439.771819,421,500.786327
1000.831052,1000,502.572782
1013.993495,1000,504.348109
521.874775,506,505.13675
674.279528,650,506.363164
1012.576864,1000,508.145911
1014.359527,1000,509.92144
1024.743739,1000,511.700307
392.769209,364,512.270804
1030.576637,1000,514.049475
476.991052,445,514.744835
1021.639846,1000,516.520576
1013.756769,1000,518.293374
1022.073902,1000,520.078318
991.868525,1000,521.846618
775.781555,757,523.242017
632.699977,622,524.440442
1003.127619,1000,526.212518
1016.508178,1000,527.988766
999.085566,1000,529.779845
999.873953,1000,531.570464
1014.082894,1000,533.351605
336.470186,310,533.836231
996.581397,1000,535.630698
987.899297,1000,537.407294
1005.281477,1000,539.178318
974.53278,1000,540.963383
1008.495286,1000,542.742335
971.385922,1000,544.511259
975.901353,1000,546.308562
1000.567441,1000,548.083425
995.876707,1000,549.855237
959.777608,1000,551.643826
1001.113008,1000,553.415934
995.207937,1000,555.178449
1012.687334,1000,556.967107
985.482406,1000,558.742528
505.644991,506,559.531018
608.687054,602,560.686792
323.168683,299,561.153684
132.636808,105,561.316917
794.756275,784,563.145226
1014.673508,1000,564.920104
981.022313,1000,566.689812
932.638156,964,568.412897
283.755059,262,568.823374
1005.017901,1000,570.589572
1048.54381,1000,572.359863
969.723103,1000,574.140491
245.591887,218,574.477856
986.646419,1000,576.244593
106.532417,95,576.391598
207.291049,172,576.660405
958.704089,1000,578.432004
981.925453,1000,580.211085
995.353898,1000,581.984306
242.920554,249,582.578558
1009.110276,1000,584.36444
1021.233963,1000,585.918477
1022.636153,1000,587.6919
493.484358,461,588.623108
189.983333,163,588.87652
647.833705,643,590.105069
281.277842,262,590.511464
656.536347,627,591.700438
388.355234,373,592.286813
988.483357,1000,594.05533
791.490646,751,595.448245
996.630399,1000,597.223136
987.1869,1000,598.991907
1019.10679,1000,600.779827
783.960635,773,601.980463
980.388382,1000,603.747226
1007.173787,1000,605.520366
376.63623,381,606.340906
975.197386,1000,608.111761
994.159546,1000,609.881735
126.898859,122,610.073077
302.616596,279,610.505147
342.92725,350,611.046597
1019.972239,1000,612.827412
144.854218,122,613.017389
985.446696,1000,614.796851
503.976045,484,615.765923
1033.343664,1000,617.547507
1015.38426,1000,619.321905
973.852393,1000,621.087739
1033.008934,1000,622.867411
241.944682,205,623.184394
1073.798228,1000,624.952258
518.225338,488,625.712744
1048.959885,1000,627.489198
540.813679,493,628.485959
1039.013005,1000,630.265868
615.585299,563,631.138337
1016.878274,1000,632.905162
1076.158034,1000,634.695969
503.636936,482,635.66503
428.582999,404,636.297244
473.822849,481,637.259782
1057.154121,1000,639.042778
1050.141529,1000,640.817276
1027.70461,1000,642.591934
899.768911,831,643.879691
590.475977,544,644.963434
407.763646,367,645.534908
1003.74155,1000,647.312402
1035.89056,1000,649.081406
998.647329,1000,650.857803
890.445663,856,652.402844
1011.125267,1000,654.17535
1026.447711,1000,655.963806
1026.826279,1000,657.734687
998.005827,1000,659.51506
1014.876846,1000,661.304314
1008.925511,1000,663.080921
1047.018179,1000,664.852238
1006.217233,1000,666.63778
146.899385,108,666.804216
1008.918302,1000,668.588158
1049.910656,1000,670.353292
1031.39486,1000,672.140757
1032.631801,1000,673.930806
1011.88171,1000,675.695348
1038.63795,1000,677.493176
404.952093,365,678.055716
123.997727,108,678.222713
1006.844648,1000,679.99321
151.680817,134,680.202015
68.053668,49,680.492221
651.182511,651,681.506167
156.584884,101,681.661831
965.387997,927,683.341361
1018.40126,1000,685.113672
361.795494,333,685.629833
579.612118,538,686.682686
1030.466927,1000,688.471505
1024.773253,1000,690.237721
1048.950572,1000,692.018338
1018.295195,1000,693.805431
1034.107216,1000,695.569647
1044.457737,1000,697.33741
1055.916779,1000,699.122409
1037.804434,1000,700.889168
324.849549,304,701.359475
1049.824953,1000,703.122441
1038.423086,1000,704.915213
693.577547,645,706.130631
1049.608708,1000,707.903112
1029.353082,1000,709.693661
833.00035,808,710.944924
123.556013,83,711.284735
550.890519,538,712.12175
132.987099,112,712.294783
1033.721549,1000,714.060429
1057.687001,1000,715.842406
1064.194453,1000,717.613746
954.289493,885,719.197637
1025.668609,1000,720.99547
1070.852014,1000,722.761919
81.447921,54,722.846527
1057.298771,1000,724.611155
1081.57298,1000,726.394267
1037.589037,1000,728.179564
1035.40359,1000,729.952313
1067.017908,1000,731.73973
1019.52053,1000,733.52175
1080.22406,1000,735.290591
1067.807439,1000,737.08335
1096.830738,1000,738.863539
1049.668387,1000,740.635005
1071.653098,1000,742.426878
1073.830011,1000,744.195337
1064.819517,1000,745.974608
1147.089632,1000,747.771526
1066.309936,1000,749.540323
229.154066,217,749.875344
377.593031,362,750.443038
1116.158687,1000,752.203009
257.981247,225,752.551392
1096.228221,1000,754.330116
71.334128,47,754.40394
1081.62712,1000,756.169227
75.829091,56,756.256747
1068.377219,1000,758.029028
1024.762696,1000,759.816523
946.723996,863,761.375
1069.466224,1000,763.141409
1041.137786,1000,764.927052
1081.552134,1000,766.69155
1107.71236,1000,768.465747
391.550705,339,768.991333
541.524552,509,770.011769
1084.603389,1000,771.789431
1049.183425,1000,773.560365
268.578379,192,773.857382
1037.617972,1000,775.646612
1073.595327,983,777.384166
623.292521,567,778.479385
329.461347,258,778.87657
1080.293947,1000,780.655301
1073.823463,985,782.395284
114.150308,80,782.52021
224.445843,210,782.842184
1043.716159,1000,784.602803
1099.47902,1000,786.382901
993.70153,886,787.97675
1038.492411,948,789.665675
723.039078,617,790.625624
928.928545,816,792.122548
1091.051213,1000,793.894926
1103.042838,1000,795.658536
445.008419,359,796.215463
992.119039,882,797.831724
540.31392,469,798.772151
1132.458841,1000,800.533847
1106.662852,1000,802.314847
1061.80044,1000,804.082931
1123.553432,1000,805.848126
995.894651,860,807.42109
231.657488,182,807.699116
1145.250776,1000,809.463574
1097.021309,1000,811.228909
1103.959348,1000,813.001237
327.505482,312,813.493398
603.286358,570,814.594697
263.606797,198,814.901485
193.085538,159,815.146415
839.86974,755,816.531053
1125.798978,1000,818.318827
1047.078084,925,819.756104
1100.990277,1000,821.528034
1154.417328,1000,823.29887
414.703626,319,824.018147
1092.900087,896,825.617931
47.981011,30,825.665433
404.004391,352,826.212729
1118.871579,1000,827.980572
910.483454,811,829.463312
424.081612,351,830.01387
290.347159,234,830.377363
302.792278,264,831.001935
1155.524941,1000,832.761041
748.580248,639,833.746451
1174.890377,1000,835.529544
606.6322,529,836.564559
500.309842,436,837.243305
1183.532567,1000,839.004726
1106.961966,1000,840.799273
214.764806,178,841.075931
1147.193476,1000,842.841326
1187.433138,1000,844.612628
1157.650253,1000,846.394262
801.814229,726,847.739345
559.363521,492,848.497769
1117.256827,1000,850.285487
234.263425,187,850.805224
1137.216665,977,852.322487
1136.912136,1000,854.082134
1130.561584,1000,855.865916
1139.770864,1000,857.646379
1185.717279,1000,859.410772
219.098526,179,859.901701
632.042039,555,860.759613
334.073043,282,861.19421
1142.526623,1000,862.9746
690.368238,568,864.071438
130.423804,96,864.218938
1159.927378,1000,865.975629
775.567519,659,867.226888
1134.674479,1000,868.987346
552.717348,484,869.737746
986.738909,905,871.350725
1107.988826,1000,873.123715
1132.295096,1000,874.883202
1114.387799,1000,876.648928
1151.060968,1000,878.43255
1114.797736,1000,880.196002
461.033664,412,880.83982
1134.074248,1000,882.605917
1130.577767,1000,884.386186
1106.147245,1000,886.15176
1106.577328,1000,887.917535
1085.883197,1000,889.695132
1123.043708,1000,891.451843
1141.950034,1000,893.211355
285.464868,247,893.592129
725.617204,612,894.766011
