#{"t_start": 1521329851.166122, "env_id": "Humanoid-v2"}
r,l,t
85.950116,18,7.754982
89.726987,19,7.792145
81.527832,17,7.822579
104.526436,22,7.864712
75.232539,16,7.894804
111.937942,24,7.945931
107.367481,23,8.024721
86.307514,18,8.06447
83.224975,18,8.118329
76.365706,16,8.150303
80.302317,17,8.200713
104.333113,24,8.250344
82.604835,17,8.296102
191.33887,42,8.397795
85.757871,18,8.44162
76.524805,16,8.471329
131.272139,28,8.546517
86.358728,18,8.584993
141.36348,30,8.655702
96.643492,20,8.697393
161.836131,34,8.782091
75.61848,16,8.827828
81.267732,17,8.864171
80.609986,17,8.910449
113.99007,26,8.968555
86.925649,18,9.017482
135.192756,28,9.090347
167.628323,35,9.199533
94.45292,19,9.264898
102.501301,22,9.318116
81.039813,17,9.365655
81.560428,17,9.399501
106.179578,22,9.450151
85.736241,18,9.499788
154.148206,33,9.570161
81.410162,17,9.600882
106.546829,23,9.64864
81.225969,17,9.697922
85.56194,19,9.737124
125.989468,28,9.815686
86.295231,18,9.859095
76.295266,16,9.8947
105.931291,22,9.962347
119.027339,24,10.014534
100.6747,21,10.062925
81.350679,17,10.095611
107.921801,23,10.143163
79.279207,17,10.186452
92.454415,19,11.288323
92.104123,19,11.32716
81.30968,17,11.359326
141.61605,32,11.428997
143.217436,33,11.523213
80.544393,17,11.558478
89.977519,19,11.600212
98.676066,21,11.654276
86.360273,18,11.695431
131.563412,28,11.767663
91.207296,19,11.84318
108.254509,23,11.889197
79.47253,17,11.928289
98.508696,21,11.979272
121.716911,25,12.046804
108.839762,23,12.106644
75.983271,16,12.149116
127.576396,29,12.208245
81.289964,17,12.250263
252.485689,51,12.392188
85.378146,18,12.438211
106.508154,23,12.50871
116.613873,24,12.562789
133.211248,27,12.623441
75.645388,16,12.677802
225.880969,50,12.811197
70.829849,15,12.84179
138.205329,30,12.920482
87.176438,18,12.976327
93.186905,21,13.019614
112.875776,25,13.085185
75.268968,16,13.11554
91.666039,19,13.162134
84.242066,18,13.200589
101.395769,21,13.246871
85.30922,18,13.288502
101.088431,21,13.337025
81.288659,17,13.39602
100.660357,21,13.450509
106.168132,22,13.511573
86.177732,18,13.54964
81.13038,17,13.594907
141.126735,31,13.66211
81.33191,17,13.709951
118.473674,25,13.760231
81.718454,17,14.261562
240.480348,51,14.370654
136.535627,28,14.431922
114.727593,24,14.494268
186.540588,37,14.589715
118.533426,25,14.671587
128.965131,27,14.745942
74.566245,16,14.789615
140.336439,30,14.871448
179.896611,38,14.972274
76.288046,16,15.003481
122.264157,27,15.066249
95.336616,21,15.11166
113.691868,24,15.181007
83.261722,18,15.214388
79.772615,17,15.24747
132.793093,27,15.311379
144.10451,30,15.417223
147.128212,32,15.518392
81.324797,17,15.550781
152.179637,33,15.621998
108.358163,24,15.68653
85.489636,18,15.724678
79.018025,17,15.793752
80.200234,17,15.837315
76.25171,16,15.891788
80.296062,17,15.933485
118.252343,25,15.994184
152.991797,34,16.073833
111.936095,23,16.162146
197.376352,39,16.258662
79.331636,17,16.308033
93.161581,19,16.362309
152.718236,31,16.437441
89.834735,19,16.495769
122.179316,25,16.564514
95.296053,20,16.603498
95.315824,20,16.64338
142.869212,29,16.703845
86.129381,18,16.739968
117.797535,25,16.79395
76.686775,16,16.851206
91.27082,19,17.335225
144.502701,31,17.398917
105.221756,22,17.440841
76.789282,16,17.470364
105.105533,23,17.526362
75.640237,16,17.559789
88.343178,19,17.602069
146.457162,34,17.713929
82.150092,19,17.762836
167.743386,34,17.839574
107.89584,26,17.907682
104.465592,25,17.970516
132.988606,29,18.036708
103.651612,21,18.080166
85.500428,18,18.119195
90.863272,19,18.158073
81.143557,17,18.195384
92.713399,19,18.234334
118.41957,26,18.307127
81.136015,17,18.376047
80.866469,17,18.425916
102.510491,22,18.478941
97.851149,20,18.530425
81.08254,17,18.564118
116.017442,26,18.630996
127.074016,27,18.702827
71.06878,15,18.734021
81.132249,17,18.768068
76.26796,16,18.811716
120.68928,25,18.862945
96.484271,20,18.912943
89.227442,19,18.965746
88.413901,19,19.016346
84.25274,18,19.060526
90.94642,19,19.105343
103.226084,22,19.167159
75.862406,16,19.201951
83.933291,18,19.259313
76.134309,16,19.30144
111.907176,24,19.357511
80.756815,17,19.391612
86.046609,18,19.441347
149.609974,35,19.529306
73.774271,16,19.565665
153.857366,32,19.645556
147.1644,31,19.714586
81.658232,17,19.748421
