#{"t_start": 1521350536.1462038, "env_id": "Humanoid-v2"}
r,l,t
100.743205,22,7.730856
76.65063,16,7.748364
84.97584,18,7.767643
80.970913,17,7.785781
101.84626,21,7.809574
75.995747,16,7.826678
81.166664,17,7.844965
169.197981,34,7.886564
86.129369,18,7.908236
129.453205,30,7.944828
81.365184,17,7.964807
85.247173,18,7.986291
90.116199,19,8.009589
128.135813,26,8.040359
151.5405,33,8.078691
80.737552,17,8.09671
108.423819,22,8.120189
85.929787,18,8.138831
80.282519,17,8.15731
159.059323,33,8.192697
71.331169,15,8.208699
75.664702,16,8.225463
162.133352,33,8.260659
144.132807,32,8.295046
81.002983,17,8.312731
107.747357,23,8.337198
120.391776,24,8.362403
126.365011,26,8.390298
104.604875,21,8.412444
145.789515,33,8.447061
200.102673,43,8.494604
115.168185,25,8.520811
86.904665,18,8.539758
142.634351,31,8.573574
114.022422,23,8.598731
84.313483,18,8.617862
108.574074,22,8.640888
81.424217,17,8.658894
96.4309,20,8.679904
141.696384,31,8.713638
76.21362,16,8.730404
76.635459,16,8.747151
76.438997,16,8.763919
81.402118,17,8.781525
200.119445,40,8.825208
79.558399,17,9.278238
91.54651,19,9.29854
81.217754,17,9.316635
97.674011,21,9.339404
106.467651,23,9.36463
76.492144,16,9.381522
86.002207,18,9.400601
166.700573,35,9.439495
79.893513,17,9.457549
81.10431,17,9.475389
134.804654,29,9.507353
119.311023,24,9.533282
90.21857,19,9.553491
80.398077,17,9.571396
122.43598,26,9.599463
87.581685,19,9.620134
95.38473,20,9.642421
96.620298,20,9.663889
87.479025,18,9.68286
81.338549,17,9.700584
97.176214,20,9.721922
126.302622,28,9.752899
86.280543,18,9.771701
80.302835,17,9.789463
76.228812,16,9.806097
97.485709,21,9.82816
162.69542,37,9.867745
98.52651,21,9.890448
142.499624,29,9.921779
106.489038,22,9.94498
142.080166,30,9.977839
100.669908,22,10.0022
134.715975,29,10.033968
163.296245,34,10.071107
106.635626,22,10.09516
84.816623,18,10.114343
76.751656,16,10.13113
180.490788,38,10.172382
90.891721,20,10.193994
121.461359,25,10.232631
109.462525,24,10.270373
114.797257,24,10.302046
85.784746,18,10.323252
111.800354,26,10.354435
98.020607,20,10.378249
128.020956,28,10.64224
148.964445,32,10.681658
88.380033,19,10.704423
80.373783,17,10.724782
138.668902,29,10.759604
128.960183,26,10.791081
97.305133,21,10.816119
170.608804,40,10.866563
96.281414,20,10.89052
96.490559,20,10.914784
76.521066,16,10.933419
131.369365,29,10.96798
80.77258,17,10.988107
144.681019,32,11.028026
81.247926,17,11.04769
81.415276,17,11.067676
137.807863,29,11.102685
82.630093,17,11.122641
81.313485,17,11.142378
77.383217,17,11.162778
110.965867,24,11.191449
155.095222,33,11.230828
96.645802,20,11.254634
147.585858,30,11.291305
89.397054,19,11.314288
76.163639,16,11.33332
182.564873,40,11.383331
86.171748,18,11.404586
89.89042,19,11.42687
87.432798,19,11.449892
76.33564,16,11.46875
92.758722,20,11.492739
87.534501,18,11.513909
76.479211,16,11.532836
81.297305,17,11.552775
127.155975,26,11.583941
99.560856,21,11.609142
81.523876,17,11.629341
152.793457,32,11.667929
95.94364,20,11.691705
143.543217,31,11.729095
85.885021,18,11.750453
77.92115,17,11.770696
127.259547,27,11.803077
117.325678,24,11.832378
109.559335,24,11.861686
75.516984,16,12.182038
137.508738,29,12.217205
145.547935,30,12.253947
75.626803,16,12.273112
81.19554,17,12.293215
