EpLenMean,EpTrueRewMean,EpRewMean,entropy,EpisodesSoFar,optimgain,EpThisIter,ev_tdlam_before,meankl,surrgain,TimestepsSoFar,TimeElapsed,entloss
22.275,104.7654553829711,18.137064,24.14362,46,0.16195187,46,0.2765396237373352,0.0069978535,0.16195187,1042,4.7264404296875,0.0
22.7,108.13676009752689,18.168812,24.136236,91,0.17880349,45,0.6087295711040497,0.006643184,0.17880349,2063,8.737052202224731,0.0
26.025,121.42997340958432,21.40217,24.118572,131,0.2015283,40,0.621801882982254,0.007110213,0.2015283,3104,12.97394871711731,0.0
24.1,113.76524368900732,19.99949,24.12532,174,0.13962615,43,0.7141722738742828,0.0070712417,0.13962615,4155,17.281606435775757,0.0
27.625,129.5039934418424,22.577978,24.116697,211,0.17762983,37,0.6130011975765228,0.007347052,0.17762983,5184,22.309190273284912,0.0
29.1,137.25313734518926,22.70266,24.089334,246,0.15195912,35,0.6831449270248413,0.0073260204,0.15195912,6209,27.16313934326172,0.0
31.2,145.96048268632345,24.308155,24.078201,279,0.15685105,33,0.6931317150592804,0.0075446265,0.15685105,7215,31.886919498443604,0.0
32.7,153.04755455284928,26.159582,24.050354,309,0.1640476,30,0.7483682334423065,0.007456773,0.1640476,8244,36.878002643585205,0.0
37.2,173.19079955825822,28.15332,24.021994,335,0.1621621,26,0.7295368611812592,0.007454592,0.1621621,9278,41.49637007713318,0.0
37.825,176.8043470427344,28.814173,23.994379,363,0.15813616,28,0.7649729698896408,0.00800028,0.15813616,10302,46.36557579040527,0.0
39.575,185.02995366809628,30.62502,23.985188,387,0.2431242,24,0.7462323606014252,0.0073371986,0.2431242,11292,50.888575077056885,0.0
39.45,182.905800700418,28.585949,23.985353,414,0.18888453,27,0.7555193156003952,0.0070767873,0.18888453,12330,55.49026370048523,0.0
40.225,188.29998003973668,27.942255,23.957535,439,0.17613497,25,0.7774670571088791,0.008098926,0.17613497,13384,59.99212670326233,0.0
43.8,207.2417962935549,29.865793,23.91406,462,0.17581841,23,0.7753688544034958,0.0074071307,0.17581841,14427,64.59977579116821,0.0
46.825,218.22693240308348,31.70524,23.916325,483,0.19741708,21,0.7721310406923294,0.007910742,0.19741708,15451,69.11405849456787,0.0
47.625,220.49473795571626,30.536846,23.896952,505,0.18329436,22,0.7753176838159561,0.008140262,0.18329436,16475,73.63110136985779,0.0
47.575,222.06210936181083,29.636316,23.848618,526,0.17758515,21,0.8420276492834091,0.007894342,0.17758515,17485,79.1620123386383,0.0
50.1,231.71491553376245,31.045746,23.852606,545,0.18353803,19,0.7212767899036407,0.0081446245,0.18353803,18479,83.66638374328613,0.0
54.875,252.76607464548442,32.471333,23.863102,562,0.18637744,17,0.8451340794563293,0.008295987,0.18637744,19476,88.19605994224548,0.0
54.925,251.68734872784754,31.899975,23.869305,580,0.19566055,18,0.7444883584976196,0.008801619,0.19566055,20479,92.71156525611877,0.0
58.525,270.47825656644903,33.82357,23.836002,597,0.19089733,17,0.8336875736713409,0.008871162,0.19089733,21501,97.29394292831421,0.0
59.55,275.0550025690126,33.526924,23.82707,615,0.19670936,18,0.7566460371017456,0.0085488055,0.19670936,22523,102.8566541671753,0.0
