surrgain,EpThisIter,TimeElapsed,entropy,entloss,TimestepsSoFar,EpisodesSoFar,EpLenMean,meankl,optimgain,EpTrueRewMean,ev_tdlam_before,EpRewMean
0.16195187,46,4.859142303466797,24.14362,0.0,1042,46,22.275,0.0069978535,0.16195187,104.7654553829711,0.2765396237373352,18.137064
0.1622296,45,9.251363039016724,24.128094,0.0,2061,91,22.675,0.006748736,0.1622296,107.12108437550152,0.5474899709224701,17.925083
0.14545065,41,13.909159898757935,24.088202,0.0,3089,132,25.05,0.0065642977,0.14545065,117.1195272546358,0.6318098604679108,20.494595
0.14804894,43,18.633438110351562,24.090656,0.0,4120,175,23.85,0.0068215085,0.14804894,112.16104356732447,0.7078098356723785,19.414484
0.14830364,36,23.10381293296814,24.09393,0.0,5136,211,27.925,0.00706681,0.14830364,129.96331619202678,0.6655002236366272,21.402618
0.13786742,35,27.585057020187378,24.069012,0.0,6142,246,28.85,0.007020985,0.13786742,134.6466979499799,0.7495925724506378,21.283909
0.18930793,32,32.41870355606079,24.07674,0.0,7166,278,31.3,0.007206368,0.18930793,144.640809997755,0.7049311995506287,23.628418
0.15053353,31,37.25996994972229,24.044012,0.0,8206,309,32.025,0.007306288,0.15053353,148.71236301307482,0.7602003812789917,23.969273
0.16664436,28,41.69909882545471,24.03841,0.0,9243,337,37.275,0.0078098476,0.16664436,172.0534968038699,0.7442497313022614,25.92594
0.18164077,31,46.41187596321106,24.007996,0.0,10267,368,34.05,0.00743331,0.18164077,160.62429932015027,0.7399886846542358,23.559116
0.20584255,25,50.97866129875183,24.02118,0.0,11254,393,36.325,0.0074603297,0.20584255,171.627429152351,0.7694667726755142,25.213572
0.1613926,24,55.53616142272949,24.021307,0.0,12292,417,41.175,0.007223037,0.1613926,193.59035408747445,0.7862167358398438,26.632397
0.17451137,24,60.12152099609375,23.976883,0.0,13300,441,42.425,0.008194552,0.17451137,200.2740800463864,0.8040488362312317,26.333618
0.16329268,21,65.10593748092651,23.95923,0.0,14301,462,43.875,0.008065632,0.16329268,206.68000218711487,0.81217160820961,27.373974
0.17516044,19,70.30856800079346,23.963625,0.0,15283,481,49.575,0.0077255187,0.17516044,233.27608091977353,0.7846032381057739,30.347477
0.19723308,21,74.89314484596252,23.942947,0.0,16319,502,50.45,0.0077563403,0.19723308,237.89468674420988,0.7309459149837494,30.10319
0.20952511,19,79.4853618144989,23.927551,0.0,17369,521,52.15,0.009090667,0.20952511,247.83632852641267,0.7159731388092041,29.885021
0.17465255,21,84.08676505088806,23.90715,0.0,18383,542,51.6,0.008322933,0.17465255,240.63310844765027,0.7009566426277161,28.20335
0.18325493,19,88.92940020561218,23.885992,0.0,19430,561,51.525,0.007947255,0.18325493,238.65777592252135,0.8272458165884018,27.170568
0.20047672,19,93.5155246257782,23.86257,0.0,20462,580,54.55,0.008618282,0.20047672,257.3269913284582,0.7669578790664673,27.635601
0.19035128,19,98.12823414802551,23.868166,0.0,21482,599,54.0,0.008515507,0.19035128,254.99013051287503,0.801156222820282,26.154272
0.2017607,18,102.73996877670288,23.85203,0.0,22467,617,54.15,0.008777679,0.2017607,252.14161008711653,0.7430843412876129,25.695484
0.18850023,14,107.36447834968567,23.860113,0.0,23446,631,60.525,0.008479968,0.18850023,279.2519969635638,0.8447049856185913,28.019852
0.20899501,17,111.97027492523193,23.880548,0.0,24494,648,63.725,0.008634906,0.20899501,297.09910643134197,0.8754387050867081,28.86264
