EpisodesSoFar,TimeElapsed,surrgain,meankl,ev_tdlam_before,TimestepsSoFar,entropy,EpThisIter,EpTrueRewMean,EpLenMean,EpRewMean,entloss,optimgain
51,4.576602458953857,0.056561362,0.0070152786,0.3219391107559204,1021,8.475651,51,-0.306730837220552,20.425,18.803127,0.0,0.056561362
88,8.279680728912354,0.062028375,0.0074868295,0.5906193852424622,2041,8.446407,37,-0.9313974194375435,26.625,24.37238,0.0,0.062028375
112,11.89461636543274,0.06749253,0.0074085426,0.5991413593292236,3073,8.398237,24,2.6017888023446223,36.125,31.019764,0.0,0.06749253
127,15.470635890960693,0.06379665,0.006808476,0.6592743694782257,4096,8.351059,15,2.873298680218292,51.775,42.856285,0.0,0.06379665
137,19.200106620788574,0.06924103,0.006162259,0.5656296610832214,5108,8.348952,10,9.224240890822845,67.675,54.86021,0.0,0.06924103
145,23.272285223007202,0.0656337,0.0065452782,0.8256779909133911,6031,8.285769,8,12.271382306635417,80.05,63.82058,0.0,0.0656337
153,26.95692539215088,0.059412092,0.006275392,0.8578968942165375,7028,8.250308,8,25.912099281640735,97.55,77.210594,0.0,0.059412092
160,30.85381245613098,0.06866471,0.005665185,0.8945508748292923,8000,8.219305,7,42.77115585911582,111.65,87.79718,0.0,0.06866471
165,34.885528564453125,0.062049344,0.006670885,0.9158575236797333,8992,8.221144,5,50.9060565827764,126.425,98.85853,0.0,0.062049344
172,38.94213509559631,0.06218309,0.0064846775,0.8937409222126007,9990,8.204908,7,66.18442310422154,135.05,105.46236,0.0,0.06218309
176,43.15694570541382,0.07278993,0.0063159056,0.8980739936232567,10904,8.209217,4,85.422428908355,151.6,118.73401,0.0,0.07278993
181,47.39849901199341,0.058516182,0.006074639,0.8498886972665787,11810,8.153638,5,98.25160573032801,155.025,122.11372,0.0,0.058516182
186,51.617141246795654,0.06473977,0.0058436454,0.9253227263689041,12789,8.142505,5,113.78977402645846,166.975,131.2878,0.0,0.06473977
190,55.88081455230713,0.061030522,0.00590486,0.9290166273713112,13754,8.121461,4,134.67330722015672,177.475,140.02963,0.0,0.061030522
195,60.14448046684265,0.057904787,0.0058159903,0.9023810774087906,14779,8.105667,5,147.76542175576958,185.7,146.83694,0.0,0.057904787
200,64.40719556808472,0.06612359,0.0063485913,0.881331130862236,15749,8.060168,5,145.18848179541493,193.725,153.1282,0.0,0.06612359
205,68.68115615844727,0.06428395,0.0058668307,0.9208406582474709,16943,8.065067,5,171.52266498680063,198.775,157.55423,0.0,0.06428395
209,72.96385097503662,0.062511146,0.0058292737,0.8751829043030739,17886,8.089526,4,171.6948794251339,207.45,163.7341,0.0,0.062511146
213,77.22704696655273,0.06589197,0.0062472178,0.937051884829998,18796,8.04015,4,181.10210438688932,214.75,169.71944,0.0,0.06589197
