entropy,EpRewMean,entloss,surrgain,EpisodesSoFar,EpLenMean,EpThisIter,TimestepsSoFar,EpTrueRewMean,ev_tdlam_before,meankl,optimgain,TimeElapsed
8.475651,18.803127,0.0,0.056561362,51,20.425,51,1021,-0.306730837220552,0.3219391107559204,0.0070152786,0.056561362,4.4704344272613525
8.452755,24.923838,0.0,0.0566843,87,27.2,36,2041,-0.8909592426386018,0.6282950341701508,0.006929039,0.0566843,8.087013244628906
8.4180765,31.255976,0.0,0.06471184,111,35.825,24,3080,2.4484537021035573,0.650763601064682,0.007263655,0.06471184,11.854157447814941
8.415663,43.670067,0.0,0.06970323,124,52.525,13,4072,5.775512160467268,0.6590191721916199,0.0068079326,0.06970323,15.800678968429565
8.432539,54.78009,0.0,0.06790438,134,67.95,10,5064,8.809940778984089,0.7622595727443695,0.006935261,0.06790438,19.493085384368896
8.36406,67.97219,0.0,0.06583181,143,85.4,9,6170,18.21220574546038,0.7846709191799164,0.00675293,0.06583181,23.22130060195923
8.355791,80.277985,0.0,0.06056504,149,101.975,6,7073,26.843358650369225,0.8780262693762779,0.0063187825,0.06056504,26.942886114120483
8.297408,92.30761,0.0,0.056416407,157,117.75,8,8157,43.98163077742504,0.8589307367801666,0.0060282703,0.056416407,30.808218717575073
8.2684965,100.76011,0.0,0.05712517,165,128.675,8,9261,50.39505080146701,0.9207652807235718,0.0055244756,0.05712517,34.9042911529541
8.262559,110.54169,0.0,0.0664438,171,140.225,6,10235,76.79620284141524,0.9380860589444637,0.0071647055,0.0664438,39.08204483985901
8.245775,114.31836,0.0,0.07317415,177,144.9,6,11260,87.07566726225426,0.9286461248993874,0.0065936237,0.07317415,43.00809717178345
8.257798,120.17373,0.0,0.06249194,183,152.725,6,12279,90.64859762893678,0.948491781949997,0.006055412,0.06249194,47.22825336456299
8.283129,128.36612,0.0,0.060120463,188,162.9,5,13311,108.89658225834603,0.908862754702568,0.0066828066,0.060120463,51.28322219848633
8.332343,133.40073,0.0,0.06719242,193,169.575,5,14393,101.5275738360288,0.8499337732791901,0.0054915743,0.06719242,55.2688570022583
8.378048,134.7853,0.0,0.062321026,199,170.825,6,15308,111.83783805410272,0.9023277536034584,0.0057226606,0.062321026,59.45848608016968
8.3391075,153.30737,0.0,0.060802113,203,194.925,4,16753,124.81348270415951,0.9119353368878365,0.0058515826,0.060802113,63.78787279129028
8.307177,164.20586,0.0,0.058177996,207,208.4,4,17890,138.72149761394226,0.9221735820174217,0.0061915494,0.058177996,68.12747049331665
8.288817,171.81291,0.0,0.0624898,210,218.4,3,18764,143.57024570912438,0.9154436364769936,0.006404918,0.0624898,72.46318340301514
8.207079,171.21964,0.0,0.06038441,215,217.975,5,19653,146.20280341213166,0.9190061092376709,0.00634134,0.06038441,76.81537222862244
8.234119,179.42819,0.0,0.066003025,219,228.875,4,20697,152.3655371616542,0.9057210013270378,0.006778458,0.066003025,81.181307554245
8.236761,182.94856,0.0,0.060921565,223,233.625,4,21624,163.40775074823688,0.9359564781188965,0.006049739,0.060921565,85.56192898750305
8.218263,186.21634,0.0,0.06630484,227,238.125,4,22721,165.79628458653278,0.8895077109336853,0.0058485223,0.06630484,89.9374487400055
8.181706,198.61023,0.0,0.059775047,228,254.025,1,23472,181.64429621790651,0.8214682638645172,0.006340284,0.059775047,94.3151502609253
8.128053,202.50215,0.0,0.0647862,230,259.625,2,24176,191.65573783390312,0.9085342064499855,0.006495975,0.0647862,98.68323707580566
8.176988,211.07935,0.0,0.067129545,232,270.375,2,24893,213.43723728166083,0.8876646310091019,0.0068271444,0.067129545,103.07446479797363
8.158626,234.81027,0.0,0.059509844,234,302.3,2,26668,250.54553030874467,0.7578466236591339,0.0057456987,0.059509844,107.46666765213013
8.168961,248.56258,0.0,0.0647015,236,321.125,2,27689,266.3367020621774,0.8812788501381874,0.0065890774,0.0647015,111.81711316108704
8.125562,262.70453,0.0,0.073431455,239,339.95,3,28906,294.03668915880445,0.9394372329115868,0.006973219,0.073431455,116.21604108810425
8.109498,264.25565,0.0,0.07223606,241,343.575,2,30060,305.56946418826243,0.8770847320556641,0.0065472666,0.07223606,120.62504267692566
8.085934,272.70395,0.0,0.061315063,243,355.4,2,30969,321.8108048962962,0.7243237197399139,0.006456973,0.061315063,125.05122470855713
8.085938,283.45786,0.0,0.076263756,244,370.375,1,31969,341.7642679075987,0.9483308866620064,0.007230629,0.076263756,129.4495813846588
8.110355,295.8741,0.0,0.06382456,246,389.25,2,33196,353.7421404076413,0.6921170651912689,0.006311223,0.06382456,133.8243532180786
8.116639,306.10898,0.0,0.0716389,247,403.9,1,34046,365.4930133018935,0.9665544629096985,0.00658477,0.0716389,138.18175315856934
8.107925,319.611,0.0,0.05483044,248,423.5,1,35046,379.44232053513196,0.49221664667129517,0.0066903066,0.05483044,142.52964997291565
8.079101,333.08325,0.0,0.07066037,250,444.25,2,36534,397.10806728754875,0.8764021620154381,0.006521294,0.07066037,146.89831495285034
8.043751,340.00687,0.0,0.063984364,251,454.15,1,37030,405.1551838188523,0.8964442163705826,0.0063880184,0.063984364,151.26470637321472
8.082463,354.60175,0.0,0.06397726,252,475.825,1,38030,417.39177435855646,-0.13426566123962402,0.006583771,0.06397726,155.60451984405518
8.0811,369.3675,0.0,0.058639303,253,496.65,1,39030,441.7380096145751,0.05995374917984009,0.0073268814,0.058639303,159.8980724811554
8.050597,379.40485,0.0,0.057184435,255,512.6,2,40157,455.24078139915036,0.6872321367263794,0.0066752685,0.057184435,164.18030405044556
8.073535,390.75244,0.0,0.053410098,256,530.15,1,41157,470.7203522463491,-0.023221373558044434,0.006605143,0.053410098,168.4584641456604
8.091919,404.09903,0.0,0.054558516,257,550.35,1,42157,486.30291962034096,-0.032990336418151855,0.0063096117,0.054558516,172.73817205429077
8.101001,418.66315,0.0,0.072533086,259,572.625,2,43602,506.25762848630995,0.9154863059520721,0.006873301,0.072533086,177.01953983306885
8.126661,428.05478,0.0,0.0674774,261,588.45,2,44827,524.3048202753696,0.05045676231384277,0.0068330923,0.0674774,181.30487084388733
8.134947,442.7994,0.0,0.05975834,262,610.025,1,45827,548.2581322316498,-0.022558212280273438,0.006380577,0.05975834,185.57918405532837
8.148437,455.24893,0.0,0.068305306,263,630.075,1,46827,560.1863696426415,0.6320053040981293,0.0072351405,0.068305306,189.85820722579956
8.181531,476.1872,0.0,0.051776987,265,664.325,2,48827,588.7218820729595,-0.032028794288635254,0.0071599986,0.051776987,194.13184475898743
8.161484,488.04312,0.0,0.061512507,266,683.95,1,49827,609.7809081348951,-0.0755605697631836,0.007095442,0.061512507,198.4188244342804
8.183334,499.41034,0.0,0.06293549,267,702.65,1,50827,627.5391789742314,-0.3186686038970947,0.0070622354,0.06293549,202.69795632362366
8.190737,500.6959,0.0,0.05267522,268,708.875,1,51827,630.4526421847506,-0.0813225507736206,0.007518161,0.05267522,206.98028302192688
8.207751,511.66437,0.0,0.06577136,269,727.2,1,52827,647.4749223794201,0.4754028916358948,0.0067596687,0.06577136,211.25545978546143
8.191757,518.961,0.0,0.057384428,270,741.275,1,53827,652.6133896381428,-0.014211297035217285,0.0067583495,0.057384428,215.54607486724854
8.177675,526.11346,0.0,0.055924915,271,755.025,1,54827,663.2905424409761,-0.00024437904357910156,0.006181585,0.055924915,219.83517837524414
8.185501,535.70447,0.0,0.05944056,272,773.35,1,55827,674.0326162657915,0.003833770751953125,0.006899525,0.05944056,224.11525297164917
8.177172,521.1014,0.0,0.06497724,274,758.825,2,57021,658.944911797624,0.7241851091384888,0.007105759,0.06497724,228.40738201141357
8.137343,520.9779,0.0,0.064038396,275,762.875,1,58021,663.9598990516457,0.816260501742363,0.0073857196,0.064038396,232.69400262832642
8.162898,532.64484,0.0,0.052296095,276,783.3,1,59021,679.1515546075116,0.004233121871948242,0.0067513646,0.052296095,236.98322796821594
8.171754,525.29083,0.0,0.071185865,278,776.15,2,59687,667.3678850241861,0.9107305407524109,0.0063730916,0.071185865,241.27209997177124
8.15851,534.23987,0.0,0.06760305,279,794.475,1,60685,675.0869114329646,0.9064205288887024,0.006641189,0.06760305,245.56696963310242
8.161792,530.1588,0.0,0.07467483,280,793.375,1,61452,669.6009091481261,0.9174933955073357,0.006365807,0.07467483,249.84917306900024
8.150576,538.07275,0.0,0.06994782,281,807.25,1,62350,692.4761560862989,0.957933072000742,0.006397838,0.06994782,254.1322853565216
8.155521,541.1296,0.0,0.060000442,282,816.45,1,63350,702.4698638310135,-0.04444754123687744,0.006934544,0.060000442,258.41477608680725
8.139697,550.6721,0.0,0.07739781,283,834.525,1,64350,722.2156375544484,0.849377304315567,0.0058872523,0.07739781,262.68505597114563
8.123417,546.6543,0.0,0.07662816,284,834.525,1,65350,721.2793174347347,0.9327942878007889,0.0070829475,0.07662816,266.958443403244
8.113022,543.08923,0.0,0.06649293,285,834.525,1,66350,724.5823446413217,0.012630045413970947,0.007832319,0.06649293,271.22522139549255
8.127332,552.0763,0.0,0.063867226,286,853.85,1,67350,736.4969456688077,-0.013072371482849121,0.007259924,0.063867226,275.5029573440552
8.124463,548.12756,0.0,0.08779977,287,851.775,1,68117,735.4984320013194,0.9486731141805649,0.0067808004,0.08779977,279.7697594165802
8.1428995,543.85,0.0,0.067002565,288,851.775,1,69117,735.4794140052894,-0.0020357370376586914,0.0072390675,0.067002565,284.0491018295288
8.158022,539.89777,0.0,0.07164594,289,852.375,1,70117,743.13378922063,0.07907485961914062,0.007941468,0.07164594,288.3208100795746
8.150696,544.73425,0.0,0.06652738,290,864.575,1,71117,761.1304329637034,0.03165477514266968,0.0063812155,0.06652738,292.59554147720337
8.131178,549.0533,0.0,0.05821727,291,877.175,1,72117,776.2817257614809,0.01458442211151123,0.006543071,0.05821727,296.8750476837158
8.1202545,544.4165,0.0,0.06564413,292,877.175,1,73117,779.4845688797362,-0.05213892459869385,0.008684129,0.06564413,301.1651771068573
8.111954,539.27313,0.0,0.06910932,293,877.175,1,74117,777.7977386525296,0.05154067277908325,0.008388441,0.06910932,305.44761753082275
8.104907,531.33417,0.0,0.07959185,295,868.2,2,74885,778.84107192798,0.9048040881752968,0.0064156754,0.07959185,309.72752690315247
8.1247,514.68274,0.0,0.06916651,297,851.95,2,76235,765.9661322979968,0.6189346015453339,0.006863017,0.06916651,314.00297808647156
8.103944,509.1328,0.0,0.068012685,298,851.95,1,77235,764.8241213518393,0.03291726112365723,0.006576562,0.068012685,318.29309010505676
8.110367,512.9947,0.0,0.085553125,299,863.3,1,78134,772.7961526112056,0.898339107632637,0.006909524,0.085553125,322.5809712409973
8.1132965,507.1927,0.0,0.07129103,300,863.3,1,79134,767.8163011969064,0.02889883518218994,0.0077345604,0.07129103,326.8831570148468
8.163159,509.8545,0.0,0.060902167,302,876.875,2,80902,788.5926347283753,0.6487112045288086,0.0076586762,0.060902167,331.18233847618103
8.158555,496.2084,0.0,0.0777734,304,865.125,2,82432,781.7650326398159,0.7594198137521744,0.007212861,0.0777734,335.4578273296356
8.16362,492.81665,0.0,0.06289241,305,865.125,1,83432,786.321930842177,0.026201903820037842,0.006673367,0.06289241,339.7552080154419
8.169619,489.37686,0.0,0.06444905,306,865.125,1,84432,786.856412567511,0.6320066452026367,0.006740614,0.06444905,344.0513336658478
8.158326,486.63995,0.0,0.0652813,307,865.125,1,85432,794.1141988100065,0.028867900371551514,0.007510189,0.0652813,348.35847759246826
8.153568,483.27286,0.0,0.083572485,308,865.125,1,86432,798.8452278888246,0.5718452632427216,0.007777118,0.083572485,352.66223073005676
8.166505,480.46378,0.0,0.08323228,309,865.125,1,87432,805.3644889088553,0.855206236243248,0.00798514,0.08323228,356.9785187244415
8.172807,476.46622,0.0,0.072204545,310,865.125,1,88432,808.3626775883438,0.062293291091918945,0.006839872,0.072204545,361.29786682128906
8.193974,472.69785,0.0,0.07025966,311,865.125,1,89432,809.2651552035253,-0.1702033281326294,0.006863418,0.07025966,365.6165008544922
8.184016,456.54053,0.0,0.073258966,313,844.45,2,90605,796.0876577127436,0.7370907068252563,0.007433017,0.073258966,369.94306659698486
8.157703,455.2083,0.0,0.075354874,315,847.55,2,91923,807.5631885742198,0.5222910940647125,0.008105054,0.075354874,374.291218996048
8.149063,450.4297,0.0,0.073340446,317,845.0,2,93247,812.4446573969574,0.5562622845172882,0.007520351,0.073340446,378.6461923122406
8.121156,458.10342,0.0,0.06551149,318,864.0,1,94247,833.255206818046,0.052429258823394775,0.008037593,0.06551149,383.01944756507874
8.1309805,444.06503,0.0,0.10479605,320,840.7,2,95080,824.6171232728277,0.9235310778021812,0.0074315197,0.10479605,387.3742871284485
8.133591,441.6673,0.0,0.078065954,321,843.25,1,96080,823.6076268095094,0.4452364444732666,0.0070336107,0.078065954,391.69492197036743
8.122802,437.51337,0.0,0.06356554,322,843.25,1,97080,818.5423783403081,-0.034270644187927246,0.0072238916,0.06356554,395.98686718940735
8.135251,434.37793,0.0,0.07147971,323,843.25,1,98080,817.9081600605954,-0.0016491413116455078,0.007579906,0.07147971,400.29152750968933
8.12445,430.84238,0.0,0.0677024,324,843.25,1,99080,816.3559204114044,-0.04307866096496582,0.0066669723,0.0677024,404.61905694007874
8.108891,420.88672,0.0,0.076857194,326,834.125,2,100715,807.5173923488057,0.716059535741806,0.007174779,0.076857194,408.9401285648346
8.107251,410.06647,0.0,0.09737766,328,818.65,2,101863,796.2513788753965,0.8769569620490074,0.007198379,0.09737766,413.25216007232666
8.076892,401.425,0.0,0.07829087,329,806.45,1,102375,778.8031088163073,0.9015825539827347,0.0072322655,0.07829087,417.57602739334106
8.074157,398.77496,0.0,0.06763306,330,806.45,1,103375,776.3958961237867,-0.025844693183898926,0.0077381553,0.06763306,421.89109683036804
8.074478,378.80536,0.0,0.083519794,333,773.525,3,105058,744.503985112466,0.7636626958847046,0.007758423,0.083519794,426.1887700557709
8.091873,383.61084,0.0,0.07042906,335,791.6,2,106549,755.4434035579319,0.7917562574148178,0.0069546783,0.07042906,430.8431131839752
8.086544,381.90176,0.0,0.074818,336,791.6,1,107549,758.3860982917844,0.08248341083526611,0.0075324574,0.074818,435.20024061203003
8.090516,388.75113,0.0,0.0921749,337,801.975,1,108314,777.6745289438697,0.9485586993396282,0.007036248,0.0921749,439.5535306930542
