#{"t_start": 1521290812.4643857, "env_id": "Walker2d-v2"}
r,l,t
0.71125,12,6.430003
-4.58919,8,6.440038
-4.290806,18,6.461362
0.12476,10,6.473613
-1.008083,11,6.486896
-2.232449,11,6.500018
-0.718121,15,6.517967
-8.4022,18,6.540026
-1.210146,23,6.567822
-1.152193,16,6.587229
0.092299,23,6.614814
-3.759807,13,6.63004
4.573191,26,6.660761
-3.145868,11,6.674195
-2.032243,21,6.698668
0.853129,12,6.71356
-2.694713,19,6.736755
-0.601043,13,6.752934
7.794679,17,6.773739
-9.323277,14,6.790874
2.807278,13,6.803876
5.187575,18,6.818969
-3.625383,18,6.833628
5.128177,27,6.855668
2.678023,19,6.87117
-1.784353,10,6.879761
3.171705,17,6.894574
-10.299247,20,6.919652
-2.668099,13,6.935791
0.515997,11,6.94572
9.432757,28,6.969118
1.247036,23,6.989217
0.263365,26,7.011074
2.213,15,7.023929
9.456694,28,7.049618
-0.524124,16,7.06871
1.318353,13,7.084721
1.861241,12,7.099509
-0.98123,16,7.119292
0.460064,19,7.135965
-5.835585,10,7.144719
-1.315658,10,7.153029
-4.472528,15,7.165648
-3.96216,16,7.179297
4.45388,18,7.194379
-4.669873,10,7.20337
-8.194377,11,7.212845
-1.649737,18,7.229164
1.421584,15,7.2515
-9.278603,20,7.278871
-2.543139,9,7.290248
-1.709893,25,7.320432
-1.159074,12,7.335338
-0.283664,13,7.350996
-0.753109,17,7.368215
-0.983887,9,7.376215
-6.493801,27,7.39891
-3.001217,28,7.422542
3.013566,18,7.437774
-6.198524,9,7.445781
3.062079,23,7.465235
-5.12193,8,7.472374
-8.754174,16,7.981613
17.80892,31,8.018702
1.105794,49,8.077996
6.317355,30,8.114124
5.539053,31,8.151856
-0.932079,13,8.167945
-7.015079,25,8.198437
-2.058865,14,8.215704
-9.580037,23,8.244077
-5.86743,21,8.269084
2.807506,30,8.305102
-7.368844,14,8.322533
-7.163903,17,8.343632
1.40687,13,8.35958
1.870213,12,8.374378
-7.109359,17,8.395313
4.686942,34,8.436161
-2.697538,38,8.48196
7.349995,23,8.509329
-1.511931,12,8.523919
-6.841267,17,8.542808
21.426674,46,8.580842
1.358135,21,8.59865
-6.26437,20,8.615698
0.039281,11,8.629392
-5.185768,18,8.656164
5.515845,19,8.683986
-10.283654,22,8.716206
-0.947673,34,8.760619
-2.482859,17,8.781575
-0.273893,16,8.801352
0.946033,33,8.841171
-0.089627,12,8.855979
-6.57869,11,8.869472
1.136114,16,8.888785
-3.598127,20,8.912679
-8.830525,17,8.933322
12.853679,43,8.972015
-4.210947,10,8.98042
1.702819,23,8.999674
6.15211,16,9.013073
12.897042,31,9.038391
-3.9533,18,9.053916
